"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National","2013-11-03",1,"2013-11-10","pmf","[0,0.1)",6.73431934449097e-17
"US National","2013-11-03",1,"2013-11-10","pmf","[0.1,0.2)",5.12416777049525e-15
"US National","2013-11-03",1,"2013-11-10","pmf","[0.2,0.3)",2.94221216700957e-13
"US National","2013-11-03",1,"2013-11-10","pmf","[0.3,0.4)",1.27513759781672e-11
"US National","2013-11-03",1,"2013-11-10","pmf","[0.4,0.5)",4.17243973042486e-10
"US National","2013-11-03",1,"2013-11-10","pmf","[0.5,0.6)",1.03108838380877e-08
"US National","2013-11-03",1,"2013-11-10","pmf","[0.6,0.7)",1.92487034027756e-07
"US National","2013-11-03",1,"2013-11-10","pmf","[0.7,0.8)",2.71541577633434e-06
"US National","2013-11-03",1,"2013-11-10","pmf","[0.8,0.9)",2.89554637480391e-05
"US National","2013-11-03",1,"2013-11-10","pmf","[0.9,1)",0.00023345989257834
"US National","2013-11-03",1,"2013-11-10","pmf","[1,1.1)",0.00142365671482603
"US National","2013-11-03",1,"2013-11-10","pmf","[1.1,1.2)",0.00656788634521056
"US National","2013-11-03",1,"2013-11-10","pmf","[1.2,1.3)",0.022928661646609
"US National","2013-11-03",1,"2013-11-10","pmf","[1.3,1.4)",0.0605837316707084
"US National","2013-11-03",1,"2013-11-10","pmf","[1.4,1.5)",0.121180366625372
"US National","2013-11-03",1,"2013-11-10","pmf","[1.5,1.6)",0.183511270110048
"US National","2013-11-03",1,"2013-11-10","pmf","[1.6,1.7)",0.210417281725978
"US National","2013-11-03",1,"2013-11-10","pmf","[1.7,1.8)",0.182683612078505
"US National","2013-11-03",1,"2013-11-10","pmf","[1.8,1.9)",0.120089652139352
"US National","2013-11-03",1,"2013-11-10","pmf","[1.9,2)",0.059767499723182
"US National","2013-11-03",1,"2013-11-10","pmf","[2,2.1)",0.0225176182212211
"US National","2013-11-03",1,"2013-11-10","pmf","[2.1,2.2)",0.00642100033689008
"US National","2013-11-03",1,"2013-11-10","pmf","[2.2,2.3)",0.00138552399841185
"US National","2013-11-03",1,"2013-11-10","pmf","[2.3,2.4)",0.00022617830814664
"US National","2013-11-03",1,"2013-11-10","pmf","[2.4,2.5)",2.79252541989239e-05
"US National","2013-11-03",1,"2013-11-10","pmf","[2.5,2.6)",2.60692677200858e-06
"US National","2013-11-03",1,"2013-11-10","pmf","[2.6,2.7)",1.83957608479446e-07
"US National","2013-11-03",1,"2013-11-10","pmf","[2.7,2.8)",9.8092054479082e-09
"US National","2013-11-03",1,"2013-11-10","pmf","[2.8,2.9)",3.95136923181383e-10
"US National","2013-11-03",1,"2013-11-10","pmf","[2.9,3)",1.2020717754524e-11
"US National","2013-11-03",1,"2013-11-10","pmf","[3,3.1)",2.76112466224276e-13
"US National","2013-11-03",1,"2013-11-10","pmf","[3.1,3.2)",4.77395900588817e-15
"US National","2013-11-03",1,"2013-11-10","pmf","[3.2,3.3)",1.11022302462516e-16
"US National","2013-11-03",1,"2013-11-10","pmf","[3.3,3.4)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[3.4,3.5)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[3.5,3.6)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[3.6,3.7)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[3.7,3.8)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[3.8,3.9)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[3.9,4)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[4,4.1)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[4.1,4.2)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[4.2,4.3)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[4.3,4.4)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[4.4,4.5)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[4.5,4.6)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[4.6,4.7)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[4.7,4.8)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[4.8,4.9)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[4.9,5)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[5,5.1)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[5.1,5.2)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[5.2,5.3)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[5.3,5.4)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[5.4,5.5)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[5.5,5.6)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[5.6,5.7)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[5.7,5.8)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[5.8,5.9)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[5.9,6)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[6,6.1)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[6.1,6.2)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[6.2,6.3)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[6.3,6.4)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[6.4,6.5)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[6.5,6.6)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[6.6,6.7)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[6.7,6.8)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[6.8,6.9)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[6.9,7)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[7,7.1)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[7.1,7.2)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[7.2,7.3)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[7.3,7.4)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[7.4,7.5)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[7.5,7.6)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[7.6,7.7)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[7.7,7.8)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[7.8,7.9)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[7.9,8)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[8,8.1)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[8.1,8.2)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[8.2,8.3)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[8.3,8.4)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[8.4,8.5)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[8.5,8.6)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[8.6,8.7)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[8.7,8.8)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[8.8,8.9)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[8.9,9)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[9,9.1)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[9.1,9.2)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[9.2,9.3)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[9.3,9.4)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[9.4,9.5)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[9.5,9.6)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[9.6,9.7)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[9.7,9.8)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[9.8,9.9)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[9.9,10)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[10,10.1)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[10.1,10.2)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[10.2,10.3)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[10.3,10.4)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[10.4,10.5)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[10.5,10.6)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[10.6,10.7)",0
"US National","2013-11-03",1,"2013-11-10","pmf","[10.7,10.8)",0
