"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National","2015-01-18",1,"2015-01-25","pmf","[0,0.1)",0.00016622055501582
"US National","2015-01-18",1,"2015-01-25","pmf","[0.1,0.2)",0.000212506051619554
"US National","2015-01-18",1,"2015-01-25","pmf","[0.2,0.3)",0.000221516565085004
"US National","2015-01-18",1,"2015-01-25","pmf","[0.3,0.4)",0.000222139307162385
"US National","2015-01-18",1,"2015-01-25","pmf","[0.4,0.5)",0.000222149619407081
"US National","2015-01-18",1,"2015-01-25","pmf","[0.5,0.6)",0.000222597677719204
"US National","2015-01-18",1,"2015-01-25","pmf","[0.6,0.7)",0.0002220308105608
"US National","2015-01-18",1,"2015-01-25","pmf","[0.7,0.8)",0.000222154317354759
"US National","2015-01-18",1,"2015-01-25","pmf","[0.8,0.9)",0.000222044012717705
"US National","2015-01-18",1,"2015-01-25","pmf","[0.9,1)",0.000222105151865469
"US National","2015-01-18",1,"2015-01-25","pmf","[1,1.1)",0.000222237858464229
"US National","2015-01-18",1,"2015-01-25","pmf","[1.1,1.2)",0.000222135410496634
"US National","2015-01-18",1,"2015-01-25","pmf","[1.2,1.3)",0.000222519257667182
"US National","2015-01-18",1,"2015-01-25","pmf","[1.3,1.4)",0.00022203034514504
"US National","2015-01-18",1,"2015-01-25","pmf","[1.4,1.5)",0.000222141597085359
"US National","2015-01-18",1,"2015-01-25","pmf","[1.5,1.6)",0.000222057494774402
"US National","2015-01-18",1,"2015-01-25","pmf","[1.6,1.7)",0.000222118130430371
"US National","2015-01-18",1,"2015-01-25","pmf","[1.7,1.8)",0.000222317668172964
"US National","2015-01-18",1,"2015-01-25","pmf","[1.8,1.9)",0.000222115262846926
"US National","2015-01-18",1,"2015-01-25","pmf","[1.9,2)",0.000222457647084348
"US National","2015-01-18",1,"2015-01-25","pmf","[2,2.1)",0.000222027921779879
"US National","2015-01-18",1,"2015-01-25","pmf","[2.1,2.2)",0.000222126860463145
"US National","2015-01-18",1,"2015-01-25","pmf","[2.2,2.3)",0.000222070860911772
"US National","2015-01-18",1,"2015-01-25","pmf","[2.3,2.4)",0.000222122324739671
"US National","2015-01-18",1,"2015-01-25","pmf","[2.4,2.5)",0.000222416302579349
"US National","2015-01-18",1,"2015-01-25","pmf","[2.5,2.6)",0.000222097294479624
"US National","2015-01-18",1,"2015-01-25","pmf","[2.6,2.7)",0.000222364212578965
"US National","2015-01-18",1,"2015-01-25","pmf","[2.7,2.8)",0.00022203545355717
"US National","2015-01-18",1,"2015-01-25","pmf","[2.8,2.9)",0.000222116799824702
"US National","2015-01-18",1,"2015-01-25","pmf","[2.9,3)",0.000222082217235122
"US National","2015-01-18",1,"2015-01-25","pmf","[3,3.1)",0.000222137838978189
"US National","2015-01-18",1,"2015-01-25","pmf","[3.1,3.2)",0.0002224871153149
"US National","2015-01-18",1,"2015-01-25","pmf","[3.2,3.3)",0.000222074908955609
