"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National","2020-01-12",1,"2020-01-19","pmf","[0,0.1)",0.000963085408178027
"US National","2020-01-12",1,"2020-01-19","pmf","[0.1,0.2)",0.00107932138602217
"US National","2020-01-12",1,"2020-01-19","pmf","[0.2,0.3)",0.0011902183417616
"US National","2020-01-12",1,"2020-01-19","pmf","[0.3,0.4)",0.00129307607512952
"US National","2020-01-12",1,"2020-01-19","pmf","[0.4,0.5)",0.00138596335865672
"US National","2020-01-12",1,"2020-01-19","pmf","[0.5,0.6)",0.00146737036056507
"US National","2020-01-12",1,"2020-01-19","pmf","[0.6,0.7)",0.00153672778320051
"US National","2020-01-12",1,"2020-01-19","pmf","[0.7,0.8)",0.00159474960822197
"US National","2020-01-12",1,"2020-01-19","pmf","[0.8,0.9)",0.0016409737324752
"US National","2020-01-12",1,"2020-01-19","pmf","[0.9,1)",0.00167712613812284
"US National","2020-01-12",1,"2020-01-19","pmf","[1,1.1)",0.00170472450025635
"US National","2020-01-12",1,"2020-01-19","pmf","[1.1,1.2)",0.00172515104797148
"US National","2020-01-12",1,"2020-01-19","pmf","[1.2,1.3)",0.00173983555020017
"US National","2020-01-12",1,"2020-01-19","pmf","[1.3,1.4)",0.00175013176235565
"US National","2020-01-12",1,"2020-01-19","pmf","[1.4,1.5)",0.00175714712563905
"US National","2020-01-12",1,"2020-01-19","pmf","[1.5,1.6)",0.00176178105056817
"US National","2020-01-12",1,"2020-01-19","pmf","[1.6,1.7)",0.00176476985756987
"US National","2020-01-12",1,"2020-01-19","pmf","[1.7,1.8)",0.00176666194257216
"US National","2020-01-12",1,"2020-01-19","pmf","[1.8,1.9)",0.00176784787189403
"US National","2020-01-12",1,"2020-01-19","pmf","[1.9,2)",0.00176863299762185
"US National","2020-01-12",1,"2020-01-19","pmf","[2,2.1)",0.00176925814526387
"US National","2020-01-12",1,"2020-01-19","pmf","[2.1,2.2)",0.00176996633372871
"US National","2020-01-12",1,"2020-01-19","pmf","[2.2,2.3)",0.00177107230964258
"US National","2020-01-12",1,"2020-01-19","pmf","[2.3,2.4)",0.00177304032002349
"US National","2020-01-12",1,"2020-01-19","pmf","[2.4,2.5)",0.00177665380485217
"US National","2020-01-12",1,"2020-01-19","pmf","[2.5,2.6)",0.00178327413841492
"US National","2020-01-12",1,"2020-01-19","pmf","[2.6,2.7)",0.00179506153540495
"US National","2020-01-12",1,"2020-01-19","pmf","[2.7,2.8)",0.00181550691450775
"US National","2020-01-12",1,"2020-01-19","pmf","[2.8,2.9)",0.00185035863459614
"US National","2020-01-12",1,"2020-01-19","pmf","[2.9,3)",0.00190803029904343
"US National","2020-01-12",1,"2020-01-19","pmf","[3,3.1)",0.00200140942631205
"US National","2020-01-12",1,"2020-01-19","pmf","[3.1,3.2)",0.00214925179219723
"US National","2020-01-12",1,"2020-01-19","pmf","[3.2,3.3)",0.00237576572217815
"US National","2020-01-12",1,"2020-01-19","pmf","[3.3,3.4)",0.00271326468090815
"US National","2020-01-12",1,"2020-01-19","pmf","[3.4,3.5)",0.00320604631910061
"US National","2020-01-12",1,"2020-01-19","pmf","[3.5,3.6)",0.00390659499676518
"US National","2020-01-12",1,"2020-01-19","pmf","[3.6,3.7)",0.00487231548271592
"US National","2020-01-12",1,"2020-01-19","pmf","[3.7,3.8)",0.00617291142172245
"US National","2020-01-12",1,"2020-01-19","pmf","[3.8,3.9)",0.0078781560183816
"US National","2020-01-12",1,"2020-01-19","pmf","[3.9,4)",0.0100433312453262
"US National","2020-01-12",1,"2020-01-19","pmf","[4,4.1)",0.0127187127566832
"US National","2020-01-12",1,"2020-01-19","pmf","[4.1,4.2)",0.0159284742730251
"US National","2020-01-12",1,"2020-01-19","pmf","[4.2,4.3)",0.0196795032511831
"US National","2020-01-12",1,"2020-01-19","pmf","[4.3,4.4)",0.023855347977868
"US National","2020-01-12",1,"2020-01-19","pmf","[4.4,4.5)",0.0283552653918914
"US National","2020-01-12",1,"2020-01-19","pmf","[4.5,4.6)",0.0330042060287022
"US National","2020-01-12",1,"2020-01-19","pmf","[4.6,4.7)",0.0375857951838927
"US National","2020-01-12",1,"2020-01-19","pmf","[4.7,4.8)",0.0418430926086869
"US National","2020-01-12",1,"2020-01-19","pmf","[4.8,4.9)",0.0455122774082484
"US National","2020-01-12",1,"2020-01-19","pmf","[4.9,5)",0.048353914115314
"US National","2020-01-12",1,"2020-01-19","pmf","[5,5.1)",0.0501489652412327
"US National","2020-01-12",1,"2020-01-19","pmf","[5.1,5.2)",0.0507614999848309
"US National","2020-01-12",1,"2020-01-19","pmf","[5.2,5.3)",0.0501544661757969
"US National","2020-01-12",1,"2020-01-19","pmf","[5.3,5.4)",0.0483416645483576
"US National","2020-01-12",1,"2020-01-19","pmf","[5.4,5.5)",0.0454338710105101
"US National","2020-01-12",1,"2020-01-19","pmf","[5.5,5.6)",0.0416906617309205
"US National","2020-01-12",1,"2020-01-19","pmf","[5.6,5.7)",0.037335140235356
"US National","2020-01-12",1,"2020-01-19","pmf","[5.7,5.8)",0.0326451435789455
"US National","2020-01-12",1,"2020-01-19","pmf","[5.8,5.9)",0.0278879231205767
"US National","2020-01-12",1,"2020-01-19","pmf","[5.9,6)",0.0232933815956886
"US National","2020-01-12",1,"2020-01-19","pmf","[6,6.1)",0.019050588974893
"US National","2020-01-12",1,"2020-01-19","pmf","[6.1,6.2)",0.0152848671062978
"US National","2020-01-12",1,"2020-01-19","pmf","[6.2,6.3)",0.0120620731599103
"US National","2020-01-12",1,"2020-01-19","pmf","[6.3,6.4)",0.00940489655175287
"US National","2020-01-12",1,"2020-01-19","pmf","[6.4,6.5)",0.00728696057583865
"US National","2020-01-12",1,"2020-01-19","pmf","[6.5,6.6)",0.0056426768616654
"US National","2020-01-12",1,"2020-01-19","pmf","[6.6,6.7)",0.00441888898729748
"US National","2020-01-12",1,"2020-01-19","pmf","[6.7,6.8)",0.00353902554488502
"US National","2020-01-12",1,"2020-01-19","pmf","[6.8,6.9)",0.00291852523033278
"US National","2020-01-12",1,"2020-01-19","pmf","[6.9,7)",0.00249636650425185
"US National","2020-01-12",1,"2020-01-19","pmf","[7,7.1)",0.00221773159729801
"US National","2020-01-12",1,"2020-01-19","pmf","[7.1,7.2)",0.00203801877439892
"US National","2020-01-12",1,"2020-01-19","pmf","[7.2,7.3)",0.0019260617091833
"US National","2020-01-12",1,"2020-01-19","pmf","[7.3,7.4)",0.00185849597433844
"US National","2020-01-12",1,"2020-01-19","pmf","[7.4,7.5)",0.00181857530262209
"US National","2020-01-12",1,"2020-01-19","pmf","[7.5,7.6)",0.00179575222016641
"US National","2020-01-12",1,"2020-01-19","pmf","[7.6,7.7)",0.00178315210703493
"US National","2020-01-12",1,"2020-01-19","pmf","[7.7,7.8)",0.00177630387425994
"US National","2020-01-12",1,"2020-01-19","pmf","[7.8,7.9)",0.00177274167676367
"US National","2020-01-12",1,"2020-01-19","pmf","[7.9,8)",0.00177094244224399
"US National","2020-01-12",1,"2020-01-19","pmf","[8,8.1)",0.00177004601081227
"US National","2020-01-12",1,"2020-01-19","pmf","[8.1,8.2)",0.00176961173354469
"US National","2020-01-12",1,"2020-01-19","pmf","[8.2,8.3)",0.00176940969869347
"US National","2020-01-12",1,"2020-01-19","pmf","[8.3,8.4)",0.00176931740641058
"US National","2020-01-12",1,"2020-01-19","pmf","[8.4,8.5)",0.00176927626786853
"US National","2020-01-12",1,"2020-01-19","pmf","[8.5,8.6)",0.00176925869806226
"US National","2020-01-12",1,"2020-01-19","pmf","[8.6,8.7)",0.00176925134918107
"US National","2020-01-12",1,"2020-01-19","pmf","[8.7,8.8)",0.0017692483358459
"US National","2020-01-12",1,"2020-01-19","pmf","[8.8,8.9)",0.00176924715463765
"US National","2020-01-12",1,"2020-01-19","pmf","[8.9,9)",0.00176924670287481
"US National","2020-01-12",1,"2020-01-19","pmf","[9,9.1)",0.00176924653492287
"US National","2020-01-12",1,"2020-01-19","pmf","[9.1,9.2)",0.00176924647480899
"US National","2020-01-12",1,"2020-01-19","pmf","[9.2,9.3)",0.00176924645503244
"US National","2020-01-12",1,"2020-01-19","pmf","[9.3,9.4)",0.00176924645074981
"US National","2020-01-12",1,"2020-01-19","pmf","[9.4,9.5)",0.00176924645391828
"US National","2020-01-12",1,"2020-01-19","pmf","[9.5,9.6)",0.00176924646264319
"US National","2020-01-12",1,"2020-01-19","pmf","[9.6,9.7)",0.00176924647720008
"US National","2020-01-12",1,"2020-01-19","pmf","[9.7,9.8)",0.00176924649751592
"US National","2020-01-12",1,"2020-01-19","pmf","[9.8,9.9)",0.00176924651960951
"US National","2020-01-12",1,"2020-01-19","pmf","[9.9,10)",0.0017692465265234
"US National","2020-01-12",1,"2020-01-19","pmf","[10,10.1)",0.00176924647087804
"US National","2020-01-12",1,"2020-01-19","pmf","[10.1,10.2)",0.00176924622905987
"US National","2020-01-12",1,"2020-01-19","pmf","[10.2,10.3)",0.00176924551315214
"US National","2020-01-12",1,"2020-01-19","pmf","[10.3,10.4)",0.00176924371709516
"US National","2020-01-12",1,"2020-01-19","pmf","[10.4,10.5)",0.00176923955889133
"US National","2020-01-12",1,"2020-01-19","pmf","[10.5,10.6)",0.00176923040586503
"US National","2020-01-12",1,"2020-01-19","pmf","[10.6,10.7)",0.00176921129598658
"US National","2020-01-12",1,"2020-01-19","pmf","[10.7,10.8)",0.00176917299087153
"US National","2020-01-12",1,"2020-01-19","pmf","[10.8,10.9)",0.001769098199405
"US National","2020-01-12",1,"2020-01-19","pmf","[10.9,11)",0.00176895705824849
"US National","2020-01-12",1,"2020-01-19","pmf","[11,11.1)",0.00176870042792605
"US National","2020-01-12",1,"2020-01-19","pmf","[11.1,11.2)",0.00176824366434126
"US National","2020-01-12",1,"2020-01-19","pmf","[11.2,11.3)",0.00176744458378512
"US National","2020-01-12",1,"2020-01-19","pmf","[11.3,11.4)",0.00176611150393402
"US National","2020-01-12",1,"2020-01-19","pmf","[11.4,11.5)",0.00176393637639308
"US National","2020-01-12",1,"2020-01-19","pmf","[11.5,11.6)",0.00176047708394643
"US National","2020-01-12",1,"2020-01-19","pmf","[11.6,11.7)",0.00175516894757223
