"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National","2018-10-21",1,"2018-10-28","pmf","[0,0.1)",0.000758569264240012
"US National","2018-10-21",1,"2018-10-28","pmf","[0.1,0.2)",0.000952979827308219
"US National","2018-10-21",1,"2018-10-28","pmf","[0.2,0.3)",0.0011795278002736
"US National","2018-10-21",1,"2018-10-28","pmf","[0.3,0.4)",0.00153535814582459
"US National","2018-10-21",1,"2018-10-28","pmf","[0.4,0.5)",0.00219491627647931
"US National","2018-10-21",1,"2018-10-28","pmf","[0.5,0.6)",0.00349804524573863
"US National","2018-10-21",1,"2018-10-28","pmf","[0.6,0.7)",0.00599328974624288
"US National","2018-10-21",1,"2018-10-28","pmf","[0.7,0.8)",0.0103106519588159
"US National","2018-10-21",1,"2018-10-28","pmf","[0.8,0.9)",0.0174190992927254
"US National","2018-10-21",1,"2018-10-28","pmf","[0.9,1)",0.0274546898177368
"US National","2018-10-21",1,"2018-10-28","pmf","[1,1.1)",0.0410598538937689
"US National","2018-10-21",1,"2018-10-28","pmf","[1.1,1.2)",0.0561907248823852
"US National","2018-10-21",1,"2018-10-28","pmf","[1.2,1.3)",0.0716553522171873
"US National","2018-10-21",1,"2018-10-28","pmf","[1.3,1.4)",0.0837937011880235
"US National","2018-10-21",1,"2018-10-28","pmf","[1.4,1.5)",0.0903268005523745
"US National","2018-10-21",1,"2018-10-28","pmf","[1.5,1.6)",0.0896405503196308
"US National","2018-10-21",1,"2018-10-28","pmf","[1.6,1.7)",0.0818799504422375
"US National","2018-10-21",1,"2018-10-28","pmf","[1.7,1.8)",0.0689107713303502
"US National","2018-10-21",1,"2018-10-28","pmf","[1.8,1.9)",0.0537683373317861
"US National","2018-10-21",1,"2018-10-28","pmf","[1.9,2)",0.038571790489237
"US National","2018-10-21",1,"2018-10-28","pmf","[2,2.1)",0.0260382922562737
"US National","2018-10-21",1,"2018-10-28","pmf","[2.1,2.2)",0.0161959704853617
"US National","2018-10-21",1,"2018-10-28","pmf","[2.2,2.3)",0.00972534313947069
"US National","2018-10-21",1,"2018-10-28","pmf","[2.3,2.4)",0.00561334914538714
"US National","2018-10-21",1,"2018-10-28","pmf","[2.4,2.5)",0.0033442769312485
"US National","2018-10-21",1,"2018-10-28","pmf","[2.5,2.6)",0.00217548020635615
"US National","2018-10-21",1,"2018-10-28","pmf","[2.6,2.7)",0.00163111164643987
"US National","2018-10-21",1,"2018-10-28","pmf","[2.7,2.8)",0.00140510552184597
"US National","2018-10-21",1,"2018-10-28","pmf","[2.8,2.9)",0.00131657216826947
"US National","2018-10-21",1,"2018-10-28","pmf","[2.9,3)",0.00128720638223305
"US National","2018-10-21",1,"2018-10-28","pmf","[3,3.1)",0.00127758581744906
"US National","2018-10-21",1,"2018-10-28","pmf","[3.1,3.2)",0.00127505554838523
"US National","2018-10-21",1,"2018-10-28","pmf","[3.2,3.3)",0.00127437262302536
"US National","2018-10-21",1,"2018-10-28","pmf","[3.3,3.4)",0.00127422641717206
"US National","2018-10-21",1,"2018-10-28","pmf","[3.4,3.5)",0.0012741947613406
"US National","2018-10-21",1,"2018-10-28","pmf","[3.5,3.6)",0.00127418918370503
"US National","2018-10-21",1,"2018-10-28","pmf","[3.6,3.7)",0.00127418823747407
"US National","2018-10-21",1,"2018-10-28","pmf","[3.7,3.8)",0.00127418814507566
"US National","2018-10-21",1,"2018-10-28","pmf","[3.8,3.9)",0.00127418829468203
"US National","2018-10-21",1,"2018-10-28","pmf","[3.9,4)",0.00127418889060075
"US National","2018-10-21",1,"2018-10-28","pmf","[4,4.1)",0.00127419058806469
"US National","2018-10-21",1,"2018-10-28","pmf","[4.1,4.2)",0.00127419540253141
"US National","2018-10-21",1,"2018-10-28","pmf","[4.2,4.3)",0.00127420629638499
"US National","2018-10-21",1,"2018-10-28","pmf","[4.3,4.4)",0.00127423005333217
"US National","2018-10-21",1,"2018-10-28","pmf","[4.4,4.5)",0.00127427300457767
"US National","2018-10-21",1,"2018-10-28","pmf","[4.5,4.6)",0.00127434386206592
