"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National","2018-03-18",1,"2018-03-25","pmf","[0,0.1)",1.9893376598994e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[0.1,0.2)",2.27447398745258e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[0.2,0.3)",2.30347392447177e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[0.3,0.4)",2.27226029609558e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[0.4,0.5)",2.27197776595377e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[0.5,0.6)",2.28965060804803e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[0.6,0.7)",2.29084400707264e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[0.7,0.8)",2.27143968371062e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[0.8,0.9)",2.27469664550673e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[0.9,1)",2.30258459419565e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[1,1.1)",2.27650065834054e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[1.1,1.2)",2.27148321544287e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[1.2,1.3)",2.28194273959686e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[1.3,1.4)",2.29875602862983e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[1.4,1.5)",2.2773050719171e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[1.5,1.6)",7.53038102082931e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[1.6,1.7)",0.00200267317060328
"US National","2018-03-18",1,"2018-03-25","pmf","[1.7,1.8)",0.00666851349788198
"US National","2018-03-18",1,"2018-03-25","pmf","[1.8,1.9)",0.0306429948580706
"US National","2018-03-18",1,"2018-03-25","pmf","[1.9,2)",0.10917684085768
"US National","2018-03-18",1,"2018-03-25","pmf","[2,2.1)",0.156081064702376
"US National","2018-03-18",1,"2018-03-25","pmf","[2.1,2.2)",0.158944491508052
"US National","2018-03-18",1,"2018-03-25","pmf","[2.2,2.3)",0.180573286997736
"US National","2018-03-18",1,"2018-03-25","pmf","[2.3,2.4)",0.180938483663521
"US National","2018-03-18",1,"2018-03-25","pmf","[2.4,2.5)",0.102079518248888
"US National","2018-03-18",1,"2018-03-25","pmf","[2.5,2.6)",0.0559412096913697
"US National","2018-03-18",1,"2018-03-25","pmf","[2.6,2.7)",0.0131414786020753
"US National","2018-03-18",1,"2018-03-25","pmf","[2.7,2.8)",0.00103490880767449
"US National","2018-03-18",1,"2018-03-25","pmf","[2.8,2.9)",3.49863947258195e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[2.9,3)",2.27202166287984e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[3,3.1)",2.28072160782791e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[3.1,3.2)",2.29980568922843e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[3.2,3.3)",2.27201514452047e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[3.3,3.4)",2.27371493419434e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[3.4,3.5)",2.29465747119619e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[3.5,3.6)",2.28485753230135e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[3.6,3.7)",2.27086836270058e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[3.7,3.8)",2.27482664967314e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[3.8,3.9)",2.30635886902824e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[3.9,4)",2.27246525755714e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[4,4.1)",2.2724757706781e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[4.1,4.2)",2.28786900703118e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[4.2,4.3)",2.29227631754823e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[4.3,4.4)",2.27125597121935e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[4.4,4.5)",2.27406774219289e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[4.5,4.6)",2.30099278055902e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[4.6,4.7)",2.27853555993023e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[4.7,4.8)",2.27137828853704e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[4.8,4.9)",2.28074050009126e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[4.9,5)",2.30014422387378e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[5,5.1)",2.27198121323189e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[5.1,5.2)",2.27358109902602e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[5.2,5.3)",2.29375677970529e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[5.3,5.4)",2.2858415408899e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[5.4,5.5)",2.27080204544055e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[5.5,5.6)",2.27335504573489e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[5.6,5.7)",2.30795789257726e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[5.7,5.8)",2.27247574607738e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[5.8,5.9)",2.27255848053901e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[5.9,6)",2.28703976244805e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[6,6.1)",2.29308482111735e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[6.1,6.2)",2.27132939132305e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[6.2,6.3)",2.27339469228296e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[6.3,6.4)",2.30033741178437e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[6.4,6.5)",2.27958182601292e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[6.5,6.6)",2.27158018972363e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[6.6,6.7)",2.28021038325451e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[6.7,6.8)",2.30063793086696e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[6.8,6.9)",2.27193002476847e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[6.9,7)",2.2732941250894e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[7,7.1)",2.29289768820019e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[7.1,7.2)",2.28687647581759e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[7.2,7.3)",2.27080871957369e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[7.3,7.4)",2.27293729135195e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[7.4,7.5)",2.30784838733732e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[7.5,7.6)",2.27304279541675e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[7.6,7.7)",2.2725284319318e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[7.7,7.8)",2.28621047949444e-05
"US National","2018-03-18",1,"2018-03-25","pmf","[7.8,7.9)",2.2939687245845e-05
