"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National","2015-10-25",1,"2015-11-01","pmf","[0,0.1)",2.14069206358051e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[0.1,0.2)",2.32151858263119e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[0.2,0.3)",2.28315604673641e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[0.3,0.4)",2.2753157671085e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[0.4,0.5)",2.26923749879705e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[0.5,0.6)",2.27995172662717e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[0.6,0.7)",2.30951105810533e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[0.7,0.8)",2.27413464634222e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[0.8,0.9)",2.26985752811355e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[0.9,1)",2.26892754113609e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[1,1.1)",2.47731795138548e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[1.1,1.2)",0.00108862376978391
"US National","2015-10-25",1,"2015-11-01","pmf","[1.2,1.3)",0.00462876467738962
"US National","2015-10-25",1,"2015-11-01","pmf","[1.3,1.4)",0.0127963276686355
"US National","2015-10-25",1,"2015-11-01","pmf","[1.4,1.5)",0.0955473774101936
"US National","2015-10-25",1,"2015-11-01","pmf","[1.5,1.6)",0.247390143337903
"US National","2015-10-25",1,"2015-11-01","pmf","[1.6,1.7)",0.276150006568298
"US National","2015-10-25",1,"2015-11-01","pmf","[1.7,1.8)",0.244036894136688
"US National","2015-10-25",1,"2015-11-01","pmf","[1.8,1.9)",0.0713751613363346
"US National","2015-10-25",1,"2015-11-01","pmf","[1.9,2)",0.0152129716559188
"US National","2015-10-25",1,"2015-11-01","pmf","[2,2.1)",0.0144462051444834
"US National","2015-10-25",1,"2015-11-01","pmf","[2.1,2.2)",0.0106839256337438
"US National","2015-10-25",1,"2015-11-01","pmf","[2.2,2.3)",0.00372182398097094
"US National","2015-10-25",1,"2015-11-01","pmf","[2.3,2.4)",0.000231687623378444
"US National","2015-10-25",1,"2015-11-01","pmf","[2.4,2.5)",2.28528002644601e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[2.5,2.6)",2.31047360667759e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[2.6,2.7)",2.27657936931929e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[2.7,2.8)",2.26814847539024e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[2.8,2.9)",2.26504598089657e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[2.9,3)",2.29343881621265e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[3,3.1)",2.29640997519298e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[3.1,3.2)",2.27722498786336e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[3.2,3.3)",2.27247187560878e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[3.3,3.4)",2.27000854540649e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[3.4,3.5)",2.3109253512399e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[3.5,3.6)",2.28693600673169e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[3.6,3.7)",2.27029272700962e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[3.7,3.8)",2.2608336349798e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[3.8,3.9)",2.25806226362208e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[3.9,4)",2.31943748860522e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[4,4.1)",2.28507169110682e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[4.1,4.2)",2.27503479859196e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[4.2,4.3)",2.26939392964044e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[4.3,4.4)",2.2843980680264e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[4.4,4.5)",2.30647734406302e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[4.5,4.6)",2.27351461970601e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[4.6,4.7)",2.26844905148267e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[4.7,4.8)",2.26839332353179e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[4.8,4.9)",2.29938494980394e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[4.9,5)",2.2975056852444e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[5,5.1)",2.27312936552312e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[5.1,5.2)",2.26361967655187e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[5.2,5.3)",2.25454972187079e-05
"US National","2015-10-25",1,"2015-11-01","pmf","[5.3,5.4)",2.30869609439482e-05
