"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National","2015-12-20",1,"2015-12-27","pmf","[0,0.1)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[0.1,0.2)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[0.2,0.3)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[0.3,0.4)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[0.4,0.5)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[0.5,0.6)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[0.6,0.7)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[0.7,0.8)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[0.8,0.9)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[0.9,1)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[1,1.1)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[1.1,1.2)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[1.2,1.3)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[1.3,1.4)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[1.4,1.5)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[1.5,1.6)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[1.6,1.7)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[1.7,1.8)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[1.8,1.9)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[1.9,2)",0.00053676541365309
"US National","2015-12-20",1,"2015-12-27","pmf","[2,2.1)",0.00358584638762163
"US National","2015-12-20",1,"2015-12-27","pmf","[2.1,2.2)",0.00537182626259866
"US National","2015-12-20",1,"2015-12-27","pmf","[2.2,2.3)",0.0090280496760649
"US National","2015-12-20",1,"2015-12-27","pmf","[2.3,2.4)",0.00936486497456663
"US National","2015-12-20",1,"2015-12-27","pmf","[2.4,2.5)",0.0158822499862655
"US National","2015-12-20",1,"2015-12-27","pmf","[2.5,2.6)",0.0183030174716467
"US National","2015-12-20",1,"2015-12-27","pmf","[2.6,2.7)",0.0295796044149629
"US National","2015-12-20",1,"2015-12-27","pmf","[2.7,2.8)",0.0370561000732364
"US National","2015-12-20",1,"2015-12-27","pmf","[2.8,2.9)",0.0528821193279702
"US National","2015-12-20",1,"2015-12-27","pmf","[2.9,3)",0.0722252004621933
"US National","2015-12-20",1,"2015-12-27","pmf","[3,3.1)",0.0995436117667752
"US National","2015-12-20",1,"2015-12-27","pmf","[3.1,3.2)",0.119797647471149
"US National","2015-12-20",1,"2015-12-27","pmf","[3.2,3.3)",0.12384916335461
"US National","2015-12-20",1,"2015-12-27","pmf","[3.3,3.4)",0.112624056605922
"US National","2015-12-20",1,"2015-12-27","pmf","[3.4,3.5)",0.0867910416077218
"US National","2015-12-20",1,"2015-12-27","pmf","[3.5,3.6)",0.0647823092277009
"US National","2015-12-20",1,"2015-12-27","pmf","[3.6,3.7)",0.0490033339450104
"US National","2015-12-20",1,"2015-12-27","pmf","[3.7,3.8)",0.0274352083481271
"US National","2015-12-20",1,"2015-12-27","pmf","[3.8,3.9)",0.0189105343052899
"US National","2015-12-20",1,"2015-12-27","pmf","[3.9,4)",0.0128177601594345
"US National","2015-12-20",1,"2015-12-27","pmf","[4,4.1)",0.00983165016863251
"US National","2015-12-20",1,"2015-12-27","pmf","[4.1,4.2)",0.00604090569296192
"US National","2015-12-20",1,"2015-12-27","pmf","[4.2,4.3)",0.0050727911515213
"US National","2015-12-20",1,"2015-12-27","pmf","[4.3,4.4)",0.00357545019675233
"US National","2015-12-20",1,"2015-12-27","pmf","[4.4,4.5)",0.00222090536090065
"US National","2015-12-20",1,"2015-12-27","pmf","[4.5,4.6)",0.001830053066552
"US National","2015-12-20",1,"2015-12-27","pmf","[4.6,4.7)",0.000865565864385
"US National","2015-12-20",1,"2015-12-27","pmf","[4.7,4.8)",0.00059355458618111
"US National","2015-12-20",1,"2015-12-27","pmf","[4.8,4.9)",0.00032132452563403
"US National","2015-12-20",1,"2015-12-27","pmf","[4.9,5)",0.00015574255765806
"US National","2015-12-20",1,"2015-12-27","pmf","[5,5.1)",0.00010136955200264
"US National","2015-12-20",1,"2015-12-27","pmf","[5.1,5.2)",6.37224307491754e-06
"US National","2015-12-20",1,"2015-12-27","pmf","[5.2,5.3)",1.40037912228019e-05
"US National","2015-12-20",1,"2015-12-27","pmf","[5.3,5.4)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[5.4,5.5)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[5.5,5.6)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[5.6,5.7)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[5.7,5.8)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[5.8,5.9)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[5.9,6)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[6,6.1)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[6.1,6.2)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[6.2,6.3)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[6.3,6.4)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[6.4,6.5)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[6.5,6.6)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[6.6,6.7)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[6.7,6.8)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[6.8,6.9)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[6.9,7)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[7,7.1)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[7.1,7.2)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[7.2,7.3)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[7.3,7.4)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[7.4,7.5)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[7.5,7.6)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[7.6,7.7)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[7.7,7.8)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[7.8,7.9)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[7.9,8)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[8,8.1)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[8.1,8.2)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[8.2,8.3)",0
"US National","2015-12-20",1,"2015-12-27","pmf","[8.3,8.4)",0
