"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National","2019-01-13",1,"2019-01-20","pmf","[0,0.1)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[0.1,0.2)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[0.2,0.3)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[0.3,0.4)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[0.4,0.5)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[0.5,0.6)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[0.6,0.7)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[0.7,0.8)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[0.8,0.9)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[0.9,1)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[1,1.1)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[1.1,1.2)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[1.2,1.3)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[1.3,1.4)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[1.4,1.5)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[1.5,1.6)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[1.6,1.7)",1.32599584490294e-05
"US National","2019-01-13",1,"2019-01-20","pmf","[1.7,1.8)",7.25665528008803e-05
"US National","2019-01-13",1,"2019-01-20","pmf","[1.8,1.9)",0.00024437347109327
"US National","2019-01-13",1,"2019-01-20","pmf","[1.9,2)",0.00066375364948422
"US National","2019-01-13",1,"2019-01-20","pmf","[2,2.1)",0.00119444033014821
"US National","2019-01-13",1,"2019-01-20","pmf","[2.1,2.2)",0.00206662576315329
"US National","2019-01-13",1,"2019-01-20","pmf","[2.2,2.3)",0.00346357682693206
"US National","2019-01-13",1,"2019-01-20","pmf","[2.3,2.4)",0.0055743266735568
"US National","2019-01-13",1,"2019-01-20","pmf","[2.4,2.5)",0.00882776308911026
"US National","2019-01-13",1,"2019-01-20","pmf","[2.5,2.6)",0.013684841060112
"US National","2019-01-13",1,"2019-01-20","pmf","[2.6,2.7)",0.0180585235664696
"US National","2019-01-13",1,"2019-01-20","pmf","[2.7,2.8)",0.0241954951478348
"US National","2019-01-13",1,"2019-01-20","pmf","[2.8,2.9)",0.0311128223530037
"US National","2019-01-13",1,"2019-01-20","pmf","[2.9,3)",0.0403229824549624
"US National","2019-01-13",1,"2019-01-20","pmf","[3,3.1)",0.0473310832133927
"US National","2019-01-13",1,"2019-01-20","pmf","[3.1,3.2)",0.0522105810025526
"US National","2019-01-13",1,"2019-01-20","pmf","[3.2,3.3)",0.0553420666096536
"US National","2019-01-13",1,"2019-01-20","pmf","[3.3,3.4)",0.06142234334333
"US National","2019-01-13",1,"2019-01-20","pmf","[3.4,3.5)",0.0687578556740549
"US National","2019-01-13",1,"2019-01-20","pmf","[3.5,3.6)",0.07098994640623
"US National","2019-01-13",1,"2019-01-20","pmf","[3.6,3.7)",0.0707134317122385
"US National","2019-01-13",1,"2019-01-20","pmf","[3.7,3.8)",0.0690638970648673
"US National","2019-01-13",1,"2019-01-20","pmf","[3.8,3.9)",0.0644838892720907
"US National","2019-01-13",1,"2019-01-20","pmf","[3.9,4)",0.058496651144517
"US National","2019-01-13",1,"2019-01-20","pmf","[4,4.1)",0.0496643166697337
"US National","2019-01-13",1,"2019-01-20","pmf","[4.1,4.2)",0.042595486953126
"US National","2019-01-13",1,"2019-01-20","pmf","[4.2,4.3)",0.0373965632956113
"US National","2019-01-13",1,"2019-01-20","pmf","[4.3,4.4)",0.0334701575360178
"US National","2019-01-13",1,"2019-01-20","pmf","[4.4,4.5)",0.0260175352849026
"US National","2019-01-13",1,"2019-01-20","pmf","[4.5,4.6)",0.016571273107553
"US National","2019-01-13",1,"2019-01-20","pmf","[4.6,4.7)",0.0110913814137506
"US National","2019-01-13",1,"2019-01-20","pmf","[4.7,4.8)",0.0065108181367405
"US National","2019-01-13",1,"2019-01-20","pmf","[4.8,4.9)",0.00378667027775395
"US National","2019-01-13",1,"2019-01-20","pmf","[4.9,5)",0.00221644653071646
"US National","2019-01-13",1,"2019-01-20","pmf","[5,5.1)",0.00122705085876929
"US National","2019-01-13",1,"2019-01-20","pmf","[5.1,5.2)",0.00067741831330154
"US National","2019-01-13",1,"2019-01-20","pmf","[5.2,5.3)",0.00031876709308803
"US National","2019-01-13",1,"2019-01-20","pmf","[5.3,5.4)",0.00010750628077879
"US National","2019-01-13",1,"2019-01-20","pmf","[5.4,5.5)",3.02410002661466e-05
"US National","2019-01-13",1,"2019-01-20","pmf","[5.5,5.6)",5.63545392623321e-06
"US National","2019-01-13",1,"2019-01-20","pmf","[5.6,5.7)",5.63545392623321e-06
"US National","2019-01-13",1,"2019-01-20","pmf","[5.7,5.8)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[5.8,5.9)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[5.9,6)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[6,6.1)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[6.1,6.2)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[6.2,6.3)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[6.3,6.4)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[6.4,6.5)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[6.5,6.6)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[6.6,6.7)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[6.7,6.8)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[6.8,6.9)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[6.9,7)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[7,7.1)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[7.1,7.2)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[7.2,7.3)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[7.3,7.4)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[7.4,7.5)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[7.5,7.6)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[7.6,7.7)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[7.7,7.8)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[7.8,7.9)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[7.9,8)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[8,8.1)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[8.1,8.2)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[8.2,8.3)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[8.3,8.4)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[8.4,8.5)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[8.5,8.6)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[8.6,8.7)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[8.7,8.8)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[8.8,8.9)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[8.9,9)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[9,9.1)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[9.1,9.2)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[9.2,9.3)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[9.3,9.4)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[9.4,9.5)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[9.5,9.6)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[9.6,9.7)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[9.7,9.8)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[9.8,9.9)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[9.9,10)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[10,10.1)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[10.1,10.2)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[10.2,10.3)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[10.3,10.4)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[10.4,10.5)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[10.5,10.6)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[10.6,10.7)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[10.7,10.8)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[10.8,10.9)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[10.9,11)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[11,11.1)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[11.1,11.2)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[11.2,11.3)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[11.3,11.4)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[11.4,11.5)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[11.5,11.6)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[11.6,11.7)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[11.7,11.8)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[11.8,11.9)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[11.9,12)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[12,12.1)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[12.1,12.2)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[12.2,12.3)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[12.3,12.4)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[12.4,12.5)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[12.5,12.6)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[12.6,12.7)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[12.7,12.8)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[12.8,12.9)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[12.9,13)",0
"US National","2019-01-13",1,"2019-01-20","pmf","[13,100)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[0,0.1)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[0.1,0.2)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[0.2,0.3)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[0.3,0.4)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[0.4,0.5)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[0.5,0.6)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[0.6,0.7)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[0.7,0.8)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[0.8,0.9)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[0.9,1)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[1,1.1)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[1.1,1.2)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[1.2,1.3)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[1.3,1.4)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[1.4,1.5)",7.80625015031755e-06
"US National","2019-01-13",2,"2019-01-27","pmf","[1.5,1.6)",7.80592030702809e-05
"US National","2019-01-13",2,"2019-01-27","pmf","[1.6,1.7)",0.00025999774814177
"US National","2019-01-13",2,"2019-01-27","pmf","[1.7,1.8)",0.00062903063835532
"US National","2019-01-13",2,"2019-01-27","pmf","[1.8,1.9)",0.0012116333466375
"US National","2019-01-13",2,"2019-01-27","pmf","[1.9,2)",0.00205526276026528
"US National","2019-01-13",2,"2019-01-27","pmf","[2,2.1)",0.00335042676602627
"US National","2019-01-13",2,"2019-01-27","pmf","[2.1,2.2)",0.00501544739927784
"US National","2019-01-13",2,"2019-01-27","pmf","[2.2,2.3)",0.00698821312736681
"US National","2019-01-13",2,"2019-01-27","pmf","[2.3,2.4)",0.0104584047860745
"US National","2019-01-13",2,"2019-01-27","pmf","[2.4,2.5)",0.014099835814317
"US National","2019-01-13",2,"2019-01-27","pmf","[2.5,2.6)",0.017790950557355
"US National","2019-01-13",2,"2019-01-27","pmf","[2.6,2.7)",0.0228684550487598
"US National","2019-01-13",2,"2019-01-27","pmf","[2.7,2.8)",0.0261981156567495
"US National","2019-01-13",2,"2019-01-27","pmf","[2.8,2.9)",0.0313921150545015
"US National","2019-01-13",2,"2019-01-27","pmf","[2.9,3)",0.0373636212685673
"US National","2019-01-13",2,"2019-01-27","pmf","[3,3.1)",0.0403309707285592
"US National","2019-01-13",2,"2019-01-27","pmf","[3.1,3.2)",0.0459761092148591
"US National","2019-01-13",2,"2019-01-27","pmf","[3.2,3.3)",0.0479993676926065
"US National","2019-01-13",2,"2019-01-27","pmf","[3.3,3.4)",0.0501401202705105
"US National","2019-01-13",2,"2019-01-27","pmf","[3.4,3.5)",0.0482189173297233
"US National","2019-01-13",2,"2019-01-27","pmf","[3.5,3.6)",0.0515323145672317
"US National","2019-01-13",2,"2019-01-27","pmf","[3.6,3.7)",0.0569448149504617
"US National","2019-01-13",2,"2019-01-27","pmf","[3.7,3.8)",0.0574545886253187
"US National","2019-01-13",2,"2019-01-27","pmf","[3.8,3.9)",0.0594119389706365
"US National","2019-01-13",2,"2019-01-27","pmf","[3.9,4)",0.0552996400416242
"US National","2019-01-13",2,"2019-01-27","pmf","[4,4.1)",0.0502860123304901
"US National","2019-01-13",2,"2019-01-27","pmf","[4.1,4.2)",0.047534045633868
"US National","2019-01-13",2,"2019-01-27","pmf","[4.2,4.3)",0.0410424350333276
"US National","2019-01-13",2,"2019-01-27","pmf","[4.3,4.4)",0.0377447112294093
"US National","2019-01-13",2,"2019-01-27","pmf","[4.4,4.5)",0.0337042913552507
"US National","2019-01-13",2,"2019-01-27","pmf","[4.5,4.6)",0.0322127266555651
"US National","2019-01-13",2,"2019-01-27","pmf","[4.6,4.7)",0.0252706263922253
"US National","2019-01-13",2,"2019-01-27","pmf","[4.7,4.8)",0.0161592050158071
"US National","2019-01-13",2,"2019-01-27","pmf","[4.8,4.9)",0.0105079880319422
"US National","2019-01-13",2,"2019-01-27","pmf","[4.9,5)",0.00503903853356304
"US National","2019-01-13",2,"2019-01-27","pmf","[5,5.1)",0.00358830517460984
"US National","2019-01-13",2,"2019-01-27","pmf","[5.1,5.2)",0.00204782396339601
"US National","2019-01-13",2,"2019-01-27","pmf","[5.2,5.3)",0.00098881178639836
"US National","2019-01-13",2,"2019-01-27","pmf","[5.3,5.4)",0.00054011989487792
"US National","2019-01-13",2,"2019-01-27","pmf","[5.4,5.5)",0.00014956458779726
"US National","2019-01-13",2,"2019-01-27","pmf","[5.5,5.6)",7.64661559628391e-05
"US National","2019-01-13",2,"2019-01-27","pmf","[5.6,5.7)",1.90421377280643e-05
"US National","2019-01-13",2,"2019-01-27","pmf","[5.7,5.8)",6.314135316844e-06
"US National","2019-01-13",2,"2019-01-27","pmf","[5.8,5.9)",6.314135316844e-06
"US National","2019-01-13",2,"2019-01-27","pmf","[5.9,6)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[6,6.1)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[6.1,6.2)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[6.2,6.3)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[6.3,6.4)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[6.4,6.5)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[6.5,6.6)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[6.6,6.7)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[6.7,6.8)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[6.8,6.9)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[6.9,7)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[7,7.1)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[7.1,7.2)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[7.2,7.3)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[7.3,7.4)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[7.4,7.5)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[7.5,7.6)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[7.6,7.7)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[7.7,7.8)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[7.8,7.9)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[7.9,8)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[8,8.1)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[8.1,8.2)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[8.2,8.3)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[8.3,8.4)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[8.4,8.5)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[8.5,8.6)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[8.6,8.7)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[8.7,8.8)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[8.8,8.9)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[8.9,9)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[9,9.1)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[9.1,9.2)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[9.2,9.3)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[9.3,9.4)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[9.4,9.5)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[9.5,9.6)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[9.6,9.7)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[9.7,9.8)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[9.8,9.9)",0
"US National","2019-01-13",2,"2019-01-27","pmf","[9.9,10)",0
