"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National","2010-10-17",1,"2010-10-24","pmf","[0,0.1)",0.0029808159162036
"US National","2010-10-17",1,"2010-10-24","pmf","[0.1,0.2)",0.00493182013763468
"US National","2010-10-17",1,"2010-10-24","pmf","[0.2,0.3)",0.00783119315337442
"US National","2010-10-17",1,"2010-10-24","pmf","[0.3,0.4)",0.0119311337251192
"US National","2010-10-17",1,"2010-10-24","pmf","[0.4,0.5)",0.0174384748345361
"US National","2010-10-17",1,"2010-10-24","pmf","[0.5,0.6)",0.0244498470322821
"US National","2010-10-17",1,"2010-10-24","pmf","[0.6,0.7)",0.0328826608220069
"US National","2010-10-17",1,"2010-10-24","pmf","[0.7,0.8)",0.0424200231795416
"US National","2010-10-17",1,"2010-10-24","pmf","[0.8,0.9)",0.0524906779454501
"US National","2010-10-17",1,"2010-10-24","pmf","[0.9,1)",0.0623013350773529
"US National","2010-10-17",1,"2010-10-24","pmf","[1,1.1)",0.0709274510070533
"US National","2010-10-17",1,"2010-10-24","pmf","[1.1,1.2)",0.0774518771019227
"US National","2010-10-17",1,"2010-10-24","pmf","[1.2,1.3)",0.0811240153915074
"US National","2010-10-17",1,"2010-10-24","pmf","[1.3,1.4)",0.0815016678056674
"US National","2010-10-17",1,"2010-10-24","pmf","[1.4,1.5)",0.0785385877417095
"US National","2010-10-17",1,"2010-10-24","pmf","[1.5,1.6)",0.0725937904221456
"US National","2010-10-17",1,"2010-10-24","pmf","[1.6,1.7)",0.064360033350329
"US National","2010-10-17",1,"2010-10-24","pmf","[1.7,1.8)",0.0547311460519988
"US National","2010-10-17",1,"2010-10-24","pmf","[1.8,1.9)",0.0446432866742825
"US National","2010-10-17",1,"2010-10-24","pmf","[1.9,2)",0.0349288415894299
"US National","2010-10-17",1,"2010-10-24","pmf","[2,2.1)",0.0262134251346986
"US National","2010-10-17",1,"2010-10-24","pmf","[2.1,2.2)",0.0188705161608694
"US National","2010-10-17",1,"2010-10-24","pmf","[2.2,2.3)",0.0130310606167461
"US National","2010-10-17",1,"2010-10-24","pmf","[2.3,2.4)",0.00863256393002301
"US National","2010-10-17",1,"2010-10-24","pmf","[2.4,2.5)",0.00548676064556514
"US National","2010-10-17",1,"2010-10-24","pmf","[2.5,2.6)",0.00334663249376734
"US National","2010-10-17",1,"2010-10-24","pmf","[2.6,2.7)",0.00195980089014625
"US National","2010-10-17",1,"2010-10-24","pmf","[2.7,2.8)",0.00110287232780001
"US National","2010-10-17",1,"2010-10-24","pmf","[2.8,2.9)",0.00059755140669172
"US National","2010-10-17",1,"2010-10-24","pmf","[2.9,3)",0.00031298392472547
"US National","2010-10-17",1,"2010-10-24","pmf","[3,3.1)",0.00015986167391511
"US National","2010-10-17",1,"2010-10-24","pmf","[3.1,3.2)",8.10982395260887e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[3.2,3.3)",4.23537325368072e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[3.3,3.4)",2.41217074520997e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[3.4,3.5)",1.59121753371269e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[3.5,3.6)",1.23741309858986e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[3.6,3.7)",1.09144486492596e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[3.7,3.8)",1.03378401373377e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[3.8,3.9)",1.01197182728901e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[3.9,4)",1.00406918014273e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[4,4.1)",1.00132663260187e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[4.1,4.2)",1.00041485056974e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[4.2,4.3)",1.00012443140118e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[4.3,4.4)",1.00003579856087e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[4.4,4.5)",1.00000987866869e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[4.5,4.6)",1.00000261474022e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[4.6,4.7)",1.00000066382859e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[4.7,4.8)",1.00000016165183e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[4.8,4.9)",1.00000003775744e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[4.9,5)",1.00000000845905e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[5,5.1)",1.00000000181777e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[5.1,5.2)",1.00000000037467e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[5.2,5.3)",1.00000000007407e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[5.3,5.4)",1.00000000001405e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[5.4,5.5)",1.00000000000255e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[5.5,5.6)",1.00000000000045e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[5.6,5.7)",1.00000000000007e-05
"US National","2010-10-17",1,"2010-10-24","pmf","[5.7,5.8)",1.00000000000001e-05
