"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National","2013-02-17",1,"2013-02-24","pmf","[0.0,0.1)",5.02803972861667e-05
"US National","2013-02-17",1,"2013-02-24","pmf","[0.1,0.2)",5.02803972861667e-05
"US National","2013-02-17",1,"2013-02-24","pmf","[0.2,0.3)",5.02803972861667e-05
"US National","2013-02-17",1,"2013-02-24","pmf","[0.3,0.4)",5.02803972861667e-05
"US National","2013-02-17",1,"2013-02-24","pmf","[0.4,0.5)",5.02803972861667e-05
"US National","2013-02-17",1,"2013-02-24","pmf","[0.5,0.6)",5.02803972861667e-05
"US National","2013-02-17",1,"2013-02-24","pmf","[0.6,0.7)",5.02803972861667e-05
"US National","2013-02-17",1,"2013-02-24","pmf","[0.7,0.8)",5.02803972861667e-05
"US National","2013-02-17",1,"2013-02-24","pmf","[0.8,0.9)",5.02803972861667e-05
"US National","2013-02-17",1,"2013-02-24","pmf","[0.9,1.0)",5.02803972861667e-05
"US National","2013-02-17",1,"2013-02-24","pmf","[1.0,1.1)",5.02803972861667e-05
"US National","2013-02-17",1,"2013-02-24","pmf","[1.1,1.2)",5.02803972861667e-05
"US National","2013-02-17",1,"2013-02-24","pmf","[1.2,1.3)",5.02803972861667e-05
"US National","2013-02-17",1,"2013-02-24","pmf","[1.3,1.4)",5.02803972861667e-05
"US National","2013-02-17",1,"2013-02-24","pmf","[1.4,1.5)",5.02803972861667e-05
"US National","2013-02-17",1,"2013-02-24","pmf","[1.5,1.6)",0.00104336263782817
"US National","2013-02-17",1,"2013-02-24","pmf","[1.6,1.7)",0.00534671901351016
"US National","2013-02-17",1,"2013-02-24","pmf","[1.7,1.8)",0.00633980125405216
"US National","2013-02-17",1,"2013-02-24","pmf","[1.8,1.9)",0.0172637059000141
"US National","2013-02-17",1,"2013-02-24","pmf","[1.9,2.0)",0.0328219943351721
"US National","2013-02-17",1,"2013-02-24","pmf","[2.0,2.1)",0.0523526117324981
"US National","2013-02-17",1,"2013-02-24","pmf","[2.1,2.2)",0.0652626808595441
"US National","2013-02-17",1,"2013-02-24","pmf","[2.2,2.3)",0.078503777400104
"US National","2013-02-17",1,"2013-02-24","pmf","[2.3,2.4)",0.098696449624458
"US National","2013-02-17",1,"2013-02-24","pmf","[2.4,2.5)",0.10962035427042
"US National","2013-02-17",1,"2013-02-24","pmf","[2.5,2.6)",0.10134466893257
"US National","2013-02-17",1,"2013-02-24","pmf","[2.6,2.7)",0.09141384652715
"US National","2013-02-17",1,"2013-02-24","pmf","[2.7,2.8)",0.081814051535244
"US National","2013-02-17",1,"2013-02-24","pmf","[2.8,2.9)",0.06824192758117
"US National","2013-02-17",1,"2013-02-24","pmf","[2.9,3.0)",0.0526836391460121
"US National","2013-02-17",1,"2013-02-24","pmf","[3.0,3.1)",0.0407666522595081
"US National","2013-02-17",1,"2013-02-24","pmf","[3.1,3.2)",0.0301737750270601
"US National","2013-02-17",1,"2013-02-24","pmf","[3.2,3.3)",0.0215670622756961
"US National","2013-02-17",1,"2013-02-24","pmf","[3.3,3.4)",0.0122982946973041
"US National","2013-02-17",1,"2013-02-24","pmf","[3.4,3.5)",0.00865699314865015
"US National","2013-02-17",1,"2013-02-24","pmf","[3.5,3.6)",0.00534671901351016
"US National","2013-02-17",1,"2013-02-24","pmf","[3.6,3.7)",0.00567774642702416
"US National","2013-02-17",1,"2013-02-24","pmf","[3.7,3.8)",0.00137439005134216
"US National","2013-02-17",1,"2013-02-24","pmf","[3.8,3.9)",0.00269849970539816
"US National","2013-02-17",1,"2013-02-24","pmf","[3.9,4.0)",0.00104336263782817
"US National","2013-02-17",1,"2013-02-24","pmf","[4.0,4.1)",0.00104336263782817
"US National","2013-02-17",1,"2013-02-24","pmf","[4.1,4.2)",0.00071233522431416
"US National","2013-02-17",1,"2013-02-24","pmf","[4.2,4.3)",0.00038130781080016
"US National","2013-02-17",1,"2013-02-24","pmf","[4.3,4.4)",0.00038130781080016
"US National","2013-02-17",1,"2013-02-24","pmf","[4.4,4.5)",5.02803972861667e-05
