"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[0.0,0.1)",8.0696619128527e-06
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[0.1,0.2)",1.66275776926494e-05
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[0.2,0.3)",5.6085319321875e-05
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[0.3,0.4)",0.00022385398841109
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[0.4,0.5)",0.00064790665790165
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[0.5,0.6)",0.00142267251173633
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[0.6,0.7)",0.00254296977556501
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[0.7,0.8)",0.00775474874711047
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[0.8,0.9)",0.00539695263567143
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[0.9,1.0)",0.00815126751183174
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[1.0,1.1)",0.00792955859718313
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[1.1,1.2)",0.0107335243430767
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[1.2,1.3)",0.00771778273805709
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[1.3,1.4)",0.00295646845734154
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[1.4,1.5)",0.00587395638136342
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[1.5,1.6)",0.0164655251482827
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[1.6,1.7)",0.0158866920162975
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[1.7,1.8)",0.0194505986870253
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[1.8,1.9)",0.0365462922054067
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[1.9,2.0)",0.0422612973926872
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[2.0,2.1)",0.0593520719715766
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[2.1,2.2)",0.0593561411141334
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[2.2,2.3)",0.0917135638788275
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[2.3,2.4)",0.0917107845983635
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[2.4,2.5)",0.0973814509930043
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[2.5,2.6)",0.0859724320596612
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[2.6,2.7)",0.0593637423159551
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[2.7,2.8)",0.0745142008013743
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[2.8,2.9)",0.0477612849081946
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[2.9,3.0)",0.0324243866375565
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[3.0,3.1)",0.0266508903914782
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[3.1,3.2)",0.00951377988283755
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[3.2,3.3)",0.0190150960675569
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[3.3,3.4)",0.00760573927065705
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[3.4,3.5)",0.0076056415650961
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[3.5,3.6)",0.00760563433242054
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[3.6,3.7)",0.0019014085002191
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[3.7,3.8)",0.00380281697392012
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[3.8,3.9)",0.00190140848680424
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[3.9,4.0)",0.00380281697359789
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[4.0,4.1)",0.00570422546039674
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[4.1,4.2)",4.01797976663035e-20
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[4.2,4.3)",5.67946409426935e-20
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[4.3,4.4)",0.00570422546039674
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[4.4,4.5)",0.00190140848679891
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[4.5,4.6)",0.00380281697359782
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[4.6,4.7)",2.10578588723774e-20
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[4.7,4.8)",1.16431580100994e-20
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[4.8,4.9)",7.06201628825805e-21
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[4.9,5.0)",0
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[5.0,5.1)",7.90798091003395e-21
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[5.1,5.2)",8.48896427049403e-18
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[5.2,5.3)",8.58919644257388e-16
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[5.3,5.4)",6.0449786051772e-14
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[5.4,5.5)",2.93703958186315e-12
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[5.5,5.6)",9.85335695488068e-11
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[5.6,5.7)",2.27325858920965e-09
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[5.7,5.8)",3.65598513141589e-08
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[5.8,5.9)",4.09359741960252e-07
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[5.9,6.0)",3.1802882261704e-06
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[6.0,6.1)",1.71507851293162e-05
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[6.1,6.2)",6.43304046386075e-05
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[6.2,6.3)",0.0001679919368875
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[6.3,6.4)",0.00030529543668958
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[6.4,6.5)",0.00038626074956731
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[6.5,6.6)",0.00034031821570724
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[6.6,6.7)",0.00020871706364078
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[6.7,6.8)",8.9109701739598e-05
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[6.8,6.9)",2.6477094330944e-05
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[6.9,7.0)",6.13629440323458e-06
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[7.0,7.1)",4.48795535007754e-06
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[7.1,7.2)",4.48795535007754e-06
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[7.2,7.3)",4.48795535007754e-06
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[7.3,7.4)",4.48795535007754e-06
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[7.4,7.5)",4.48795535007754e-06
"HHS Region 1","2018-12-09",1,"2018-12-16","pmf","[7.5,7.6)",4.48795535007754e-06
