"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National","2019-12-08",1,"2019-12-15","pmf","[0,0.1)",5.486218952624e-05
"US National","2019-12-08",1,"2019-12-15","pmf","[0.1,0.2)",0.00010972437905249
"US National","2019-12-08",1,"2019-12-15","pmf","[0.2,0.3)",0.00010972437905249
"US National","2019-12-08",1,"2019-12-15","pmf","[0.3,0.4)",0.00010972437905249
"US National","2019-12-08",1,"2019-12-15","pmf","[0.4,0.5)",0.00011167028659881
"US National","2019-12-08",1,"2019-12-15","pmf","[0.5,0.6)",0.00020368731277374
"US National","2019-12-08",1,"2019-12-15","pmf","[0.6,0.7)",0.00044385322420562
"US National","2019-12-08",1,"2019-12-15","pmf","[0.7,0.8)",0.00089136872192962
"US National","2019-12-08",1,"2019-12-15","pmf","[0.8,0.9)",0.00165256387417118
"US National","2019-12-08",1,"2019-12-15","pmf","[0.9,1)",0.00283688494696494
"US National","2019-12-08",1,"2019-12-15","pmf","[1,1.1)",0.00452445824187195
"US National","2019-12-08",1,"2019-12-15","pmf","[1.1,1.2)",0.00674255747556752
"US National","2019-12-08",1,"2019-12-15","pmf","[1.2,1.3)",0.0094565594615599
"US National","2019-12-08",1,"2019-12-15","pmf","[1.3,1.4)",0.0125988442224411
"US National","2019-12-08",1,"2019-12-15","pmf","[1.4,1.5)",0.016118428668176
"US National","2019-12-08",1,"2019-12-15","pmf","[1.5,1.6)",0.02001171891297
"US National","2019-12-08",1,"2019-12-15","pmf","[1.6,1.7)",0.0243093540992499
"US National","2019-12-08",1,"2019-12-15","pmf","[1.7,1.8)",0.0289977116676681
"US National","2019-12-08",1,"2019-12-15","pmf","[1.8,1.9)",0.0339238886638611
"US National","2019-12-08",1,"2019-12-15","pmf","[1.9,2)",0.0387488030755257
"US National","2019-12-08",1,"2019-12-15","pmf","[2,2.1)",0.04300422562686
"US National","2019-12-08",1,"2019-12-15","pmf","[2.1,2.2)",0.0462467224383274
"US National","2019-12-08",1,"2019-12-15","pmf","[2.2,2.3)",0.0482486160131801
"US National","2019-12-08",1,"2019-12-15","pmf","[2.3,2.4)",0.0491061829310996
"US National","2019-12-08",1,"2019-12-15","pmf","[2.4,2.5)",0.0492038602370306
"US National","2019-12-08",1,"2019-12-15","pmf","[2.5,2.6)",0.04902922742106
"US National","2019-12-08",1,"2019-12-15","pmf","[2.6,2.7)",0.0489209698238756
"US National","2019-12-08",1,"2019-12-15","pmf","[2.7,2.8)",0.0488833384937337
"US National","2019-12-08",1,"2019-12-15","pmf","[2.8,2.9)",0.0485581076305913
"US National","2019-12-08",1,"2019-12-15","pmf","[2.9,3)",0.0473687431764515
"US National","2019-12-08",1,"2019-12-15","pmf","[3,3.1)",0.0447832142553108
"US National","2019-12-08",1,"2019-12-15","pmf","[3.1,3.2)",0.0405514769522583
"US National","2019-12-08",1,"2019-12-15","pmf","[3.2,3.3)",0.0348503802437015
"US National","2019-12-08",1,"2019-12-15","pmf","[3.3,3.4)",0.0282468495237631
"US National","2019-12-08",1,"2019-12-15","pmf","[3.4,3.5)",0.021527153795066
"US National","2019-12-08",1,"2019-12-15","pmf","[3.5,3.6)",0.0154650434074235
"US National","2019-12-08",1,"2019-12-15","pmf","[3.6,3.7)",0.0106313671272829
"US National","2019-12-08",1,"2019-12-15","pmf","[3.7,3.8)",0.00729276168386067
"US National","2019-12-08",1,"2019-12-15","pmf","[3.8,3.9)",0.0054325172618997
"US National","2019-12-08",1,"2019-12-15","pmf","[3.9,4)",0.00482312821428122
"US National","2019-12-08",1,"2019-12-15","pmf","[4,4.1)",0.00512283820886222
"US National","2019-12-08",1,"2019-12-15","pmf","[4.1,4.2)",0.00596510806392481
"US National","2019-12-08",1,"2019-12-15","pmf","[4.2,4.3)",0.00701153691550197
"US National","2019-12-08",1,"2019-12-15","pmf","[4.3,4.4)",0.00799570730179528
"US National","2019-12-08",1,"2019-12-15","pmf","[4.4,4.5)",0.0087363840911856
"US National","2019-12-08",1,"2019-12-15","pmf","[4.5,4.6)",0.00913368338549213
"US National","2019-12-08",1,"2019-12-15","pmf","[4.6,4.7)",0.00914515782578875
"US National","2019-12-08",1,"2019-12-15","pmf","[4.7,4.8)",0.00876786907880897
"US National","2019-12-08",1,"2019-12-15","pmf","[4.8,4.9)",0.00802883476349822
"US National","2019-12-08",1,"2019-12-15","pmf","[4.9,5)",0.0069905401244167
"US National","2019-12-08",1,"2019-12-15","pmf","[5,5.1)",0.0057559548922565
"US National","2019-12-08",1,"2019-12-15","pmf","[5.1,5.2)",0.00445765845747695
"US National","2019-12-08",1,"2019-12-15","pmf","[5.2,5.3)",0.00323151203177082
"US National","2019-12-08",1,"2019-12-15","pmf","[5.3,5.4)",0.00218446534890341
"US National","2019-12-08",1,"2019-12-15","pmf","[5.4,5.5)",0.00137304641976225
"US National","2019-12-08",1,"2019-12-15","pmf","[5.5,5.6)",0.00080042378105939
"US National","2019-12-08",1,"2019-12-15","pmf","[5.6,5.7)",0.00043237955639886
"US National","2019-12-08",1,"2019-12-15","pmf","[5.7,5.8)",0.00021596787230731
"US National","2019-12-08",1,"2019-12-15","pmf","[5.8,5.9)",9.972921401861e-05
"US National","2019-12-08",1,"2019-12-15","pmf","[5.9,6)",4.256902635786e-05
