"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[0.0,0.1)",0
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[0.1,0.2)",0
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[0.2,0.3)",0
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[0.3,0.4)",0
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[0.4,0.5)",0
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[0.5,0.6)",2e-05
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[0.6,0.7)",0.00096
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[0.7,0.8)",0.00046
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[0.8,0.9)",4e-05
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[0.9,1.0)",0.00018
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[1.0,1.1)",3e-04
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[1.1,1.2)",0.00074
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[1.2,1.3)",0.00288
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[1.3,1.4)",0.00922
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[1.4,1.5)",0.02086
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[1.5,1.6)",0.02908
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[1.6,1.7)",0.02668
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[1.7,1.8)",0.01894
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[1.8,1.9)",0.02548
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[1.9,2.0)",0.04408
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[2.0,2.1)",0.05832
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[2.1,2.2)",0.06514
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[2.2,2.3)",0.06384
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[2.3,2.4)",0.05532
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[2.4,2.5)",0.047
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[2.5,2.6)",0.04152
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[2.6,2.7)",0.03874
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[2.7,2.8)",0.03408
"HHS Region 1","2010-12-26",1,"2011-01-02","pmf","[2.8,2.9)",0.02992
