"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National","2014-11-23",1,"2014-11-30","pmf","[0,0.1)",9.87069390978186e-05
"US National","2014-11-23",1,"2014-11-30","pmf","[0.1,0.2)",9.87069390978186e-05
"US National","2014-11-23",1,"2014-11-30","pmf","[0.2,0.3)",9.87069390978186e-05
"US National","2014-11-23",1,"2014-11-30","pmf","[0.3,0.4)",9.87069390978186e-05
"US National","2014-11-23",1,"2014-11-30","pmf","[0.4,0.5)",9.87069390978186e-05
"US National","2014-11-23",1,"2014-11-30","pmf","[0.5,0.6)",0.00019741387819563
"US National","2014-11-23",1,"2014-11-30","pmf","[0.6,0.7)",0.00098706939097818
"US National","2014-11-23",1,"2014-11-30","pmf","[0.7,0.8)",0.00256638041654328
"US National","2014-11-23",1,"2014-11-30","pmf","[0.8,0.9)",0.00513276083308657
"US National","2014-11-23",1,"2014-11-30","pmf","[0.9,1)",0.0107590563616622
"US National","2014-11-23",1,"2014-11-30","pmf","[1,1.1)",0.0195439739413681
"US National","2014-11-23",1,"2014-11-30","pmf","[1.1,1.2)",0.0225051821143026
"US National","2014-11-23",1,"2014-11-30","pmf","[1.2,1.3)",0.034251307866943
"US National","2014-11-23",1,"2014-11-30","pmf","[1.3,1.4)",0.0373112229789754
"US National","2014-11-23",1,"2014-11-30","pmf","[1.4,1.5)",0.0448129503504096
"US National","2014-11-23",1,"2014-11-30","pmf","[1.5,1.6)",0.052215970782746
"US National","2014-11-23",1,"2014-11-30","pmf","[1.6,1.7)",0.0546836442601915
"US National","2014-11-23",1,"2014-11-30","pmf","[1.7,1.8)",0.0534004540519198
"US National","2014-11-23",1,"2014-11-30","pmf","[1.8,1.9)",0.0589280426413977
"US National","2014-11-23",1,"2014-11-30","pmf","[1.9,2)",0.055473299772974
"US National","2014-11-23",1,"2014-11-30","pmf","[2,2.1)",0.0516237291481591
"US National","2014-11-23",1,"2014-11-30","pmf","[2.1,2.2)",0.0483664001579311
"US National","2014-11-23",1,"2014-11-30","pmf","[2.2,2.3)",0.0512289013917678
"US National","2014-11-23",1,"2014-11-30","pmf","[2.3,2.4)",0.0411607936037903
"US National","2014-11-23",1,"2014-11-30","pmf","[2.4,2.5)",0.0400750172737143
"US National","2014-11-23",1,"2014-11-30","pmf","[2.5,2.6)",0.0369163952225841
"US National","2014-11-23",1,"2014-11-30","pmf","[2.6,2.7)",0.0305004441812259
"US National","2014-11-23",1,"2014-11-30","pmf","[2.7,2.8)",0.0275392360082914
"US National","2014-11-23",1,"2014-11-30","pmf","[2.8,2.9)",0.0284275984601717
"US National","2014-11-23",1,"2014-11-30","pmf","[2.9,3)",0.0234922515052808
"US National","2014-11-23",1,"2014-11-30","pmf","[3,3.1)",0.0219129404797157
"US National","2014-11-23",1,"2014-11-30","pmf","[3.1,3.2)",0.0169775935248248
"US National","2014-11-23",1,"2014-11-30","pmf","[3.2,3.3)",0.0151021616819662
"US National","2014-11-23",1,"2014-11-30","pmf","[3.3,3.4)",0.0128319020827164
"US National","2014-11-23",1,"2014-11-30","pmf","[3.4,3.5)",0.0095745730924884
"US National","2014-11-23",1,"2014-11-30","pmf","[3.5,3.6)",0.0102655216661731
"US National","2014-11-23",1,"2014-11-30","pmf","[3.6,3.7)",0.00967328003158622
"US National","2014-11-23",1,"2014-11-30","pmf","[3.7,3.8)",0.00858750370151021
"US National","2014-11-23",1,"2014-11-30","pmf","[3.8,3.9)",0.0079952620669233
"US National","2014-11-23",1,"2014-11-30","pmf","[3.9,4)",0.00700819267594512
"US National","2014-11-23",1,"2014-11-30","pmf","[4,4.1)",0.0058237094067713
"US National","2014-11-23",1,"2014-11-30","pmf","[4.1,4.2)",0.00434310532030402
"US National","2014-11-23",1,"2014-11-30","pmf","[4.2,4.3)",0.0042443983812062
"US National","2014-11-23",1,"2014-11-30","pmf","[4.3,4.4)",0.00325732899022801
"US National","2014-11-23",1,"2014-11-30","pmf","[4.4,4.5)",0.00345474286842365
"US National","2014-11-23",1,"2014-11-30","pmf","[4.5,4.6)",0.00246767347744546
"US National","2014-11-23",1,"2014-11-30","pmf","[4.6,4.7)",0.00187543184285855
"US National","2014-11-23",1,"2014-11-30","pmf","[4.7,4.8)",0.00128319020827164
"US National","2014-11-23",1,"2014-11-30","pmf","[4.8,4.9)",0.00177672490376073
"US National","2014-11-23",1,"2014-11-30","pmf","[4.9,5)",0.001085776330076
"US National","2014-11-23",1,"2014-11-30","pmf","[5,5.1)",0.00217155266015201
"US National","2014-11-23",1,"2014-11-30","pmf","[5.1,5.2)",0.001085776330076
"US National","2014-11-23",1,"2014-11-30","pmf","[5.2,5.3)",0.00069094857368473
"US National","2014-11-23",1,"2014-11-30","pmf","[5.3,5.4)",0.00078965551278254
"US National","2014-11-23",1,"2014-11-30","pmf","[5.4,5.5)",0.00128319020827164
"US National","2014-11-23",1,"2014-11-30","pmf","[5.5,5.6)",0.00029612081729345
"US National","2014-11-23",1,"2014-11-30","pmf","[5.6,5.7)",0.00059224163458691
"US National","2014-11-23",1,"2014-11-30","pmf","[5.7,5.8)",0.00069094857368473
"US National","2014-11-23",1,"2014-11-30","pmf","[5.8,5.9)",0.00069094857368473
"US National","2014-11-23",1,"2014-11-30","pmf","[5.9,6)",0.00039482775639127
"US National","2014-11-23",1,"2014-11-30","pmf","[6,6.1)",0.00029612081729345
"US National","2014-11-23",1,"2014-11-30","pmf","[6.1,6.2)",0.00059224163458691
"US National","2014-11-23",1,"2014-11-30","pmf","[6.2,6.3)",0.00029612081729345
"US National","2014-11-23",1,"2014-11-30","pmf","[6.3,6.4)",0.00029612081729345
"US National","2014-11-23",1,"2014-11-30","pmf","[6.4,6.5)",0.00019741387819563
"US National","2014-11-23",1,"2014-11-30","pmf","[6.5,6.6)",0.00029612081729345
"US National","2014-11-23",1,"2014-11-30","pmf","[6.6,6.7)",0.00019741387819563
"US National","2014-11-23",1,"2014-11-30","pmf","[6.7,6.8)",9.87069390978186e-05
"US National","2014-11-23",1,"2014-11-30","pmf","[6.8,6.9)",0.00019741387819563
"US National","2014-11-23",1,"2014-11-30","pmf","[6.9,7)",9.87069390978186e-05
"US National","2014-11-23",1,"2014-11-30","pmf","[7,7.1)",0.00019741387819563
"US National","2014-11-23",1,"2014-11-30","pmf","[7.1,7.2)",0.00019741387819563
"US National","2014-11-23",1,"2014-11-30","pmf","[7.2,7.3)",0.00019741387819563
"US National","2014-11-23",1,"2014-11-30","pmf","[7.3,7.4)",9.87069390978186e-05
"US National","2014-11-23",1,"2014-11-30","pmf","[7.4,7.5)",9.87069390978186e-05
"US National","2014-11-23",1,"2014-11-30","pmf","[7.5,7.6)",0.00019741387819563
"US National","2014-11-23",1,"2014-11-30","pmf","[7.6,7.7)",9.87069390978186e-05
"US National","2014-11-23",1,"2014-11-30","pmf","[7.7,7.8)",9.87069390978186e-05
"US National","2014-11-23",1,"2014-11-30","pmf","[7.8,7.9)",9.87069390978186e-05
"US National","2014-11-23",1,"2014-11-30","pmf","[7.9,8)",9.87069390978186e-05
"US National","2014-11-23",1,"2014-11-30","pmf","[8,8.1)",0.00019741387819563
"US National","2014-11-23",1,"2014-11-30","pmf","[8.1,8.2)",9.87069390978186e-05
"US National","2014-11-23",1,"2014-11-30","pmf","[8.2,8.3)",9.87069390978186e-05
"US National","2014-11-23",1,"2014-11-30","pmf","[8.3,8.4)",9.87069390978186e-05
"US National","2014-11-23",1,"2014-11-30","pmf","[8.4,8.5)",9.87069390978186e-05
"US National","2014-11-23",1,"2014-11-30","pmf","[8.5,8.6)",9.87069390978186e-05
"US National","2014-11-23",1,"2014-11-30","pmf","[8.6,8.7)",0.00019741387819563
