"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National","2017-01-15",1,"2017-01-22","pmf","[0,0.1)",0
"US National","2017-01-15",1,"2017-01-22","pmf","[0.1,0.2)",0
"US National","2017-01-15",1,"2017-01-22","pmf","[0.2,0.3)",0
"US National","2017-01-15",1,"2017-01-22","pmf","[0.3,0.4)",0
"US National","2017-01-15",1,"2017-01-22","pmf","[0.4,0.5)",0
"US National","2017-01-15",1,"2017-01-22","pmf","[0.5,0.6)",0
"US National","2017-01-15",1,"2017-01-22","pmf","[0.6,0.7)",0
"US National","2017-01-15",1,"2017-01-22","pmf","[0.7,0.8)",0
"US National","2017-01-15",1,"2017-01-22","pmf","[0.8,0.9)",0
"US National","2017-01-15",1,"2017-01-22","pmf","[0.9,1)",0
"US National","2017-01-15",1,"2017-01-22","pmf","[1,1.1)",0
"US National","2017-01-15",1,"2017-01-22","pmf","[1.1,1.2)",0
"US National","2017-01-15",1,"2017-01-22","pmf","[1.2,1.3)",0
"US National","2017-01-15",1,"2017-01-22","pmf","[1.3,1.4)",0
"US National","2017-01-15",1,"2017-01-22","pmf","[1.4,1.5)",0
"US National","2017-01-15",1,"2017-01-22","pmf","[1.5,1.6)",0
"US National","2017-01-15",1,"2017-01-22","pmf","[1.6,1.7)",0
"US National","2017-01-15",1,"2017-01-22","pmf","[1.7,1.8)",0
"US National","2017-01-15",1,"2017-01-22","pmf","[1.8,1.9)",0
"US National","2017-01-15",1,"2017-01-22","pmf","[1.9,2)",0
"US National","2017-01-15",1,"2017-01-22","pmf","[2,2.1)",0
"US National","2017-01-15",1,"2017-01-22","pmf","[2.1,2.2)",5e-04
"US National","2017-01-15",1,"2017-01-22","pmf","[2.2,2.3)",0.0015
"US National","2017-01-15",1,"2017-01-22","pmf","[2.3,2.4)",0.0037
"US National","2017-01-15",1,"2017-01-22","pmf","[2.4,2.5)",0.0067
"US National","2017-01-15",1,"2017-01-22","pmf","[2.5,2.6)",0.011
"US National","2017-01-15",1,"2017-01-22","pmf","[2.6,2.7)",0.0234
"US National","2017-01-15",1,"2017-01-22","pmf","[2.7,2.8)",0.0346
"US National","2017-01-15",1,"2017-01-22","pmf","[2.8,2.9)",0.049
"US National","2017-01-15",1,"2017-01-22","pmf","[2.9,3)",0.0608
"US National","2017-01-15",1,"2017-01-22","pmf","[3,3.1)",0.0716
"US National","2017-01-15",1,"2017-01-22","pmf","[3.1,3.2)",0.0763
"US National","2017-01-15",1,"2017-01-22","pmf","[3.2,3.3)",0.0864
"US National","2017-01-15",1,"2017-01-22","pmf","[3.3,3.4)",0.0845
"US National","2017-01-15",1,"2017-01-22","pmf","[3.4,3.5)",0.0809
