"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National","2018-01-28",1,"2018-02-04","pmf","[0,0.1)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[0.1,0.2)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[0.2,0.3)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[0.3,0.4)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[0.4,0.5)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[0.5,0.6)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[0.6,0.7)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[0.7,0.8)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[0.8,0.9)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[0.9,1)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[1,1.1)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[1.1,1.2)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[1.2,1.3)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[1.3,1.4)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[1.4,1.5)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[1.5,1.6)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[1.6,1.7)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[1.7,1.8)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[1.8,1.9)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[1.9,2)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[2,2.1)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[2.1,2.2)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[2.2,2.3)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[2.3,2.4)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[2.4,2.5)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[2.5,2.6)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[2.6,2.7)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[2.7,2.8)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[2.8,2.9)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[2.9,3)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[3,3.1)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[3.1,3.2)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[3.2,3.3)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[3.3,3.4)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[3.4,3.5)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[3.5,3.6)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[3.6,3.7)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[3.7,3.8)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[3.8,3.9)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[3.9,4)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[4,4.1)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[4.1,4.2)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[4.2,4.3)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[4.3,4.4)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[4.4,4.5)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[4.5,4.6)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[4.6,4.7)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[4.7,4.8)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[4.8,4.9)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[4.9,5)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[5,5.1)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[5.1,5.2)",0.00046926
"US National","2018-01-28",1,"2018-02-04","pmf","[5.2,5.3)",0.00046926
