"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National",2018-12-02,1,2018-12-09,"pmf","[0.0,0.1)",3.15730167658846e-39
"US National",2018-12-02,1,2018-12-09,"pmf","[0.1,0.2)",2.95363195853787e-36
"US National",2018-12-02,1,2018-12-09,"pmf","[0.2,0.3)",2.0856456071749e-33
"US National",2018-12-02,1,2018-12-09,"pmf","[0.3,0.4)",1.11178931527894e-30
"US National",2018-12-02,1,2018-12-09,"pmf","[0.4,0.5)",4.47467352030841e-28
"US National",2018-12-02,1,2018-12-09,"pmf","[0.5,0.6)",1.35994562974888e-25
"US National",2018-12-02,1,2018-12-09,"pmf","[0.6,0.7)",3.12157185930876e-23
"US National",2018-12-02,1,2018-12-09,"pmf","[0.7,0.8)",5.41244075949079e-21
"US National",2018-12-02,1,2018-12-09,"pmf","[0.8,0.9)",7.09028829078309e-19
"US National",2018-12-02,1,2018-12-09,"pmf","[0.9,1.0)",7.01899805777045e-17
"US National",2018-12-02,1,2018-12-09,"pmf","[1.0,1.1)",5.25198154591821e-15
"US National",2018-12-02,1,2018-12-09,"pmf","[1.1,1.2)",2.97105828715004e-13
"US National",2018-12-02,1,2018-12-09,"pmf","[1.2,1.3)",1.27100889760445e-11
"US National",2018-12-02,1,2018-12-09,"pmf","[1.3,1.4)",4.11292617785456e-10
"US National",2018-12-02,1,2018-12-09,"pmf","[1.4,1.5)",1.0070214755031e-08
"US National",2018-12-02,1,2018-12-09,"pmf","[1.5,1.6)",1.86610722484588e-07
"US National",2018-12-02,1,2018-12-09,"pmf","[1.6,1.7)",2.61801103522031e-06
"US National",2018-12-02,1,2018-12-09,"pmf","[1.7,1.8)",2.78144727715755e-05
"US National",2018-12-02,1,2018-12-09,"pmf","[1.8,1.9)",0.00022385165890268
"US National",2018-12-02,1,2018-12-09,"pmf","[1.9,2.0)",0.00136508942408839
"US National",2018-12-02,1,2018-12-09,"pmf","[2.0,2.1)",0.00630938429659699
"US National",2018-12-02,1,2018-12-09,"pmf","[2.1,2.2)",0.0221075855072202
"US National",2018-12-02,1,2018-12-09,"pmf","[2.2,2.3)",0.0587373008335473
"US National",2018-12-02,1,2018-12-09,"pmf","[2.3,2.4)",0.118352803163315
"US National",2018-12-02,1,2018-12-09,"pmf","[2.4,2.5)",0.18087966228524
"US National",2018-12-02,1,2018-12-09,"pmf","[2.5,2.6)",0.209691844628765
"US National",2018-12-02,1,2018-12-09,"pmf","[2.6,2.7)",0.184402137147984
"US National",2018-12-02,1,2018-12-09,"pmf","[2.7,2.8)",0.123007766395011
"US National",2018-12-02,1,2018-12-09,"pmf","[2.8,2.9)",0.0622370223137503
"US National",2018-12-02,1,2018-12-09,"pmf","[2.9,3.0)",0.0238814904407322
"US National",2018-12-02,1,2018-12-09,"pmf","[3.0,3.1)",0.00694861234179545
"US National",2018-12-02,1,2018-12-09,"pmf","[3.1,3.2)",0.00153274510977552
"US National",2018-12-02,1,2018-12-09,"pmf","[3.2,3.3)",0.00025625625634251
"US National",2018-12-02,1,2018-12-09,"pmf","[3.3,3.4)",3.24637385463733e-05
"US National",2018-12-02,1,2018-12-09,"pmf","[3.4,3.5)",3.11545403031133e-06
"US National",2018-12-02,1,2018-12-09,"pmf","[3.5,3.6)",2.26421415616684e-07
"US National",2018-12-02,1,2018-12-09,"pmf","[3.6,3.7)",1.2458322817821e-08
"US National",2018-12-02,1,2018-12-09,"pmf","[3.7,3.8)",5.1882453888652e-10
"US National",2018-12-02,1,2018-12-09,"pmf","[3.8,3.9)",1.63483671045128e-11
"US National",2018-12-02,1,2018-12-09,"pmf","[3.9,4.0)",3.8968828164343e-13
"US National",2018-12-02,1,2018-12-09,"pmf","[4.0,4.1)",6.99440505513849e-15
"US National",2018-12-02,1,2018-12-09,"pmf","[4.1,4.2)",1.11022302462516e-16
"US National",2018-12-02,1,2018-12-09,"pmf","[4.2,4.3)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[4.3,4.4)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[4.4,4.5)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[4.5,4.6)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[4.6,4.7)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[4.7,4.8)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[4.8,4.9)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[4.9,5.0)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[5.0,5.1)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[5.1,5.2)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[5.2,5.3)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[5.3,5.4)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[5.4,5.5)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[5.5,5.6)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[5.6,5.7)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[5.7,5.8)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[5.8,5.9)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[5.9,6.0)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[6.0,6.1)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[6.1,6.2)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[6.2,6.3)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[6.3,6.4)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[6.4,6.5)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[6.5,6.6)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[6.6,6.7)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[6.7,6.8)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[6.8,6.9)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[6.9,7.0)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[7.0,7.1)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[7.1,7.2)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[7.2,7.3)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[7.3,7.4)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[7.4,7.5)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[7.5,7.6)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[7.6,7.7)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[7.7,7.8)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[7.8,7.9)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[7.9,8.0)",0
"US National",2018-12-02,1,2018-12-09,"pmf","[8.0,8.1)",0
