"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National",2018-02-25,1,2018-03-04,"pmf","[0.0,0.1)",0.000150150005739617
"US National",2018-02-25,1,2018-03-04,"pmf","[0.1,0.2)",0.000196165757570022
"US National",2018-02-25,1,2018-03-04,"pmf","[0.2,0.3)",0.000216052309911533
"US National",2018-02-25,1,2018-03-04,"pmf","[0.3,0.4)",0.000221415244425338
"US National",2018-02-25,1,2018-03-04,"pmf","[0.4,0.5)",0.000222339311009344
"US National",2018-02-25,1,2018-03-04,"pmf","[0.5,0.6)",0.00022244549633597
"US National",2018-02-25,1,2018-03-04,"pmf","[0.6,0.7)",0.000222367573745777
"US National",2018-02-25,1,2018-03-04,"pmf","[0.7,0.8)",0.000222304894890337
"US National",2018-02-25,1,2018-03-04,"pmf","[0.8,0.9)",0.000222301323451599
"US National",2018-02-25,1,2018-03-04,"pmf","[0.9,1.0)",0.000222354807545595
"US National",2018-02-25,1,2018-03-04,"pmf","[1.0,1.1)",0.000222409799955836
"US National",2018-02-25,1,2018-03-04,"pmf","[1.1,1.2)",0.000222424858542536
"US National",2018-02-25,1,2018-03-04,"pmf","[1.2,1.3)",0.000222423906477744
"US National",2018-02-25,1,2018-03-04,"pmf","[1.3,1.4)",0.000222350529299316
"US National",2018-02-25,1,2018-03-04,"pmf","[1.4,1.5)",0.000222300735306543
"US National",2018-02-25,1,2018-03-04,"pmf","[1.5,1.6)",0.000222308613659953
"US National",2018-02-25,1,2018-03-04,"pmf","[1.6,1.7)",0.000222376398222665
"US National",2018-02-25,1,2018-03-04,"pmf","[1.7,1.8)",0.000222452514572609
"US National",2018-02-25,1,2018-03-04,"pmf","[1.8,1.9)",0.000222944236474959
"US National",2018-02-25,1,2018-03-04,"pmf","[1.9,2.0)",0.000230691839696327
"US National",2018-02-25,1,2018-03-04,"pmf","[2.0,2.1)",0.000299350432765192
"US National",2018-02-25,1,2018-03-04,"pmf","[2.1,2.2)",0.00071715954079434
"US National",2018-02-25,1,2018-03-04,"pmf","[2.2,2.3)",0.00222285309043501
"US National",2018-02-25,1,2018-03-04,"pmf","[2.3,2.4)",0.00557148096156755
"US National",2018-02-25,1,2018-03-04,"pmf","[2.4,2.5)",0.0104841069404733
"US National",2018-02-25,1,2018-03-04,"pmf","[2.5,2.6)",0.0152928071142363
"US National",2018-02-25,1,2018-03-04,"pmf","[2.6,2.7)",0.0204423055098662
"US National",2018-02-25,1,2018-03-04,"pmf","[2.7,2.8)",0.0296215682935885
"US National",2018-02-25,1,2018-03-04,"pmf","[2.8,2.9)",0.0451224088756532
"US National",2018-02-25,1,2018-03-04,"pmf","[2.9,3.0)",0.0637757368589927
