"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National",2017-02-12,1,2017-02-19,"pmf","[0.0,0.1)",0.000955990513659894
"US National",2017-02-12,1,2017-02-19,"pmf","[0.1,0.2)",0.00106091069490543
"US National",2017-02-12,1,2017-02-19,"pmf","[0.2,0.3)",0.00116195010216674
"US National",2017-02-12,1,2017-02-19,"pmf","[0.3,0.4)",0.00125699949012243
"US National",2017-02-12,1,2017-02-19,"pmf","[0.4,0.5)",0.00134442420591481
"US National",2017-02-12,1,2017-02-19,"pmf","[0.5,0.6)",0.00142310328484687
"US National",2017-02-12,1,2017-02-19,"pmf","[0.6,0.7)",0.00149225212189605
"US National",2017-02-12,1,2017-02-19,"pmf","[0.7,0.8)",0.00155163603830712
"US National",2017-02-12,1,2017-02-19,"pmf","[0.8,0.9)",0.00160161608673948
"US National",2017-02-12,1,2017-02-19,"pmf","[0.9,1.0)",0.0016427585999973
"US National",2017-02-12,1,2017-02-19,"pmf","[1.0,1.1)",0.00167593321533016
"US National",2017-02-12,1,2017-02-19,"pmf","[1.1,1.2)",0.00170235434111435
"US National",2017-02-12,1,2017-02-19,"pmf","[1.2,1.3)",0.00172338159821358
"US National",2017-02-12,1,2017-02-19,"pmf","[1.3,1.4)",0.00174047545232255
"US National",2017-02-12,1,2017-02-19,"pmf","[1.4,1.5)",0.00175541396204979
"US National",2017-02-12,1,2017-02-19,"pmf","[1.5,1.6)",0.00177036545850322
"US National",2017-02-12,1,2017-02-19,"pmf","[1.6,1.7)",0.00178805813883442
"US National",2017-02-12,1,2017-02-19,"pmf","[1.7,1.8)",0.00181232074720627
"US National",2017-02-12,1,2017-02-19,"pmf","[1.8,1.9)",0.00184845480839021
"US National",2017-02-12,1,2017-02-19,"pmf","[1.9,2.0)",0.00190369244389064
"US National",2017-02-12,1,2017-02-19,"pmf","[2.0,2.1)",0.0019884311328402
"US National",2017-02-12,1,2017-02-19,"pmf","[2.1,2.2)",0.00211715829242095
"US National",2017-02-12,1,2017-02-19,"pmf","[2.2,2.3)",0.00230834266312932
"US National",2017-02-12,1,2017-02-19,"pmf","[2.3,2.4)",0.00258596978252421
"US National",2017-02-12,1,2017-02-19,"pmf","[2.4,2.5)",0.00298138278879261
"US National",2017-02-12,1,2017-02-19,"pmf","[2.5,2.6)",0.0035308443348884
"US National",2017-02-12,1,2017-02-19,"pmf","[2.6,2.7)",0.00427422722815461
"US National",2017-02-12,1,2017-02-19,"pmf","[2.7,2.8)",0.0052577683513269
"US National",2017-02-12,1,2017-02-19,"pmf","[2.8,2.9)",0.00652913432049919
"US National",2017-02-12,1,2017-02-19,"pmf","[2.9,3.0)",0.00812773044500898
"US National",2017-02-12,1,2017-02-19,"pmf","[3.0,3.1)",0.0100860495665987
"US National",2017-02-12,1,2017-02-19,"pmf","[3.1,3.2)",0.0124263691091284
"US National",2017-02-12,1,2017-02-19,"pmf","[3.2,3.3)",0.0151447012909823
"US National",2017-02-12,1,2017-02-19,"pmf","[3.3,3.4)",0.0182097630836648
"US National",2017-02-12,1,2017-02-19,"pmf","[3.4,3.5)",0.0215664789706534
"US National",2017-02-12,1,2017-02-19,"pmf","[3.5,3.6)",0.0251253290836895
"US National",2017-02-12,1,2017-02-19,"pmf","[3.6,3.7)",0.0287647591581958
"US National",2017-02-12,1,2017-02-19,"pmf","[3.7,3.8)",0.032344622208513
"US National",2017-02-12,1,2017-02-19,"pmf","[3.8,3.9)",0.0357053866595103
"US National",2017-02-12,1,2017-02-19,"pmf","[3.9,4.0)",0.0386843240060777
"US National",2017-02-12,1,2017-02-19,"pmf","[4.0,4.1)",0.0411360843896018
"US National",2017-02-12,1,2017-02-19,"pmf","[4.1,4.2)",0.0429289979528378
"US National",2017-02-12,1,2017-02-19,"pmf","[4.2,4.3)",0.0439626978782247
"US National",2017-02-12,1,2017-02-19,"pmf","[4.3,4.4)",0.0441937644074168
"US National",2017-02-12,1,2017-02-19,"pmf","[4.4,4.5)",0.0436210146679886
"US National",2017-02-12,1,2017-02-19,"pmf","[4.5,4.6)",0.0422778826211106
"US National",2017-02-12,1,2017-02-19,"pmf","[4.6,4.7)",0.0402523372712319
"US National",2017-02-12,1,2017-02-19,"pmf","[4.7,4.8)",0.0376673012993113
"US National",2017-02-12,1,2017-02-19,"pmf","[4.8,4.9)",0.0346555164028694
"US National",2017-02-12,1,2017-02-19,"pmf","[4.9,5.0)",0.0313654914669455
"US National",2017-02-12,1,2017-02-19,"pmf","[5.0,5.1)",0.0279469660782869
"US National",2017-02-12,1,2017-02-19,"pmf","[5.1,5.2)",0.0245313076788452
"US National",2017-02-12,1,2017-02-19,"pmf","[5.2,5.3)",0.0212332800026815
"US National",2017-02-12,1,2017-02-19,"pmf","[5.3,5.4)",0.0181438799673295
"US National",2017-02-12,1,2017-02-19,"pmf","[5.4,5.5)",0.0153228508515529
"US National",2017-02-12,1,2017-02-19,"pmf","[5.5,5.6)",0.0128112077520226
"US National",2017-02-12,1,2017-02-19,"pmf","[5.6,5.7)",0.0106276128727905
"US National",2017-02-12,1,2017-02-19,"pmf","[5.7,5.8)",0.0087664076466944
"US National",2017-02-12,1,2017-02-19,"pmf","[5.8,5.9)",0.00720997935307746
"US National",2017-02-12,1,2017-02-19,"pmf","[5.9,6.0)",0.00593630562562658
"US National",2017-02-12,1,2017-02-19,"pmf","[6.0,6.1)",0.00491287513912453
"US National",2017-02-12,1,2017-02-19,"pmf","[6.1,6.2)",0.00410256216831885
"US National",2017-02-12,1,2017-02-19,"pmf","[6.2,6.3)",0.0034742924081625
"US National",2017-02-12,1,2017-02-19,"pmf","[6.3,6.4)",0.00299621658827346
"US National",2017-02-12,1,2017-02-19,"pmf","[6.4,6.5)",0.00263776907014413
"US National",2017-02-12,1,2017-02-19,"pmf","[6.5,6.6)",0.00237328607206663
"US National",2017-02-12,1,2017-02-19,"pmf","[6.6,6.7)",0.00218263359770793
"US National",2017-02-12,1,2017-02-19,"pmf","[6.7,6.8)",0.00204762602874088
"US National",2017-02-12,1,2017-02-19,"pmf","[6.8,6.9)",0.00195319284330676
"US National",2017-02-12,1,2017-02-19,"pmf","[6.9,7.0)",0.00188877276867266
"US National",2017-02-12,1,2017-02-19,"pmf","[7.0,7.1)",0.00184568718419365
"US National",2017-02-12,1,2017-02-19,"pmf","[7.1,7.2)",0.00181731233835846
"US National",2017-02-12,1,2017-02-19,"pmf","[7.2,7.3)",0.00179898000597352
"US National",2017-02-12,1,2017-02-19,"pmf","[7.3,7.4)",0.0017874435361091
"US National",2017-02-12,1,2017-02-19,"pmf","[7.4,7.5)",0.00178031994399274
"US National",2017-02-12,1,2017-02-19,"pmf","[7.5,7.6)",0.00177598275010006
"US National",2017-02-12,1,2017-02-19,"pmf","[7.6,7.7)",0.00177342032046424
"US National",2017-02-12,1,2017-02-19,"pmf","[7.7,7.8)",0.00177193763567299
"US National",2017-02-12,1,2017-02-19,"pmf","[7.8,7.9)",0.00177109344204793
"US National",2017-02-12,1,2017-02-19,"pmf","[7.9,8.0)",0.00177062319573681
"US National",2017-02-12,1,2017-02-19,"pmf","[8.0,8.1)",0.00177036894915891
"US National",2017-02-12,1,2017-02-19,"pmf","[8.1,8.2)",0.00177023424699367
"US National",2017-02-12,1,2017-02-19,"pmf","[8.2,8.3)",0.00177016399961734
"US National",2017-02-12,1,2017-02-19,"pmf","[8.3,8.4)",0.00177012872812774
"US National",2017-02-12,1,2017-02-19,"pmf","[8.4,8.5)",0.00177011147907069
