"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National",2011-04-17,1,2011-04-24,"pmf","[0.0,0.1)",0.0197090778496859
"US National",2011-04-17,1,2011-04-24,"pmf","[0.1,0.2)",0.0212311722294216
"US National",2011-04-17,1,2011-04-24,"pmf","[0.2,0.3)",0.0227779079314114
"US National",2011-04-17,1,2011-04-24,"pmf","[0.3,0.4)",0.0242045307823258
"US National",2011-04-17,1,2011-04-24,"pmf","[0.4,0.5)",0.0255397687425713
"US National",2011-04-17,1,2011-04-24,"pmf","[0.5,0.6)",0.0267747023342402
"US National",2011-04-17,1,2011-04-24,"pmf","[0.6,0.7)",0.0278149309726667
"US National",2011-04-17,1,2011-04-24,"pmf","[0.7,0.8)",0.0287365849142968
"US National",2011-04-17,1,2011-04-24,"pmf","[0.8,0.9)",0.0294261900462779
"US National",2011-04-17,1,2011-04-24,"pmf","[0.9,1.0)",0.0299292996549424
"US National",2011-04-17,1,2011-04-24,"pmf","[1.0,1.1)",0.0302149812419709
"US National",2011-04-17,1,2011-04-24,"pmf","[1.1,1.2)",0.0302818684682015
"US National",2011-04-17,1,2011-04-24,"pmf","[1.2,1.3)",0.0301235348484636
"US National",2011-04-17,1,2011-04-24,"pmf","[1.3,1.4)",0.029760039038396
"US National",2011-04-17,1,2011-04-24,"pmf","[1.4,1.5)",0.0291790515894169
"US National",2011-04-17,1,2011-04-24,"pmf","[1.5,1.6)",0.0284090331775679
"US National",2011-04-17,1,2011-04-24,"pmf","[1.6,1.7)",0.0274843201599011
"US National",2011-04-17,1,2011-04-24,"pmf","[1.7,1.8)",0.0263613313952723
"US National",2011-04-17,1,2011-04-24,"pmf","[1.8,1.9)",0.025169090081358
"US National",2011-04-17,1,2011-04-24,"pmf","[1.9,2.0)",0.0238177106926241
"US National",2011-04-17,1,2011-04-24,"pmf","[2.0,2.1)",0.0224247987054549
"US National",2011-04-17,1,2011-04-24,"pmf","[2.1,2.2)",0.0209821928065436
"US National",2011-04-17,1,2011-04-24,"pmf","[2.2,2.3)",0.0194759184691669
"US National",2011-04-17,1,2011-04-24,"pmf","[2.3,2.4)",0.0180330349340597
"US National",2011-04-17,1,2011-04-24,"pmf","[2.4,2.5)",0.0165340693615475
"US National",2011-04-17,1,2011-04-24,"pmf","[2.5,2.6)",0.0151397260785413
"US National",2011-04-17,1,2011-04-24,"pmf","[2.6,2.7)",0.013777624904352
"US National",2011-04-17,1,2011-04-24,"pmf","[2.7,2.8)",0.0124755122935899
"US National",2011-04-17,1,2011-04-24,"pmf","[2.8,2.9)",0.0112967676180275
"US National",2011-04-17,1,2011-04-24,"pmf","[2.9,3.0)",0.0101379704224415
"US National",2011-04-17,1,2011-04-24,"pmf","[3.0,3.1)",0.00913938197407443
"US National",2011-04-17,1,2011-04-24,"pmf","[3.1,3.2)",0.00820196663771925
"US National",2011-04-17,1,2011-04-24,"pmf","[3.2,3.3)",0.00736811613091968
"US National",2011-04-17,1,2011-04-24,"pmf","[3.3,3.4)",0.00663974908081466
"US National",2011-04-17,1,2011-04-24,"pmf","[3.4,3.5)",0.00597030318019147
"US National",2011-04-17,1,2011-04-24,"pmf","[3.5,3.6)",0.00541813009335124
"US National",2011-04-17,1,2011-04-24,"pmf","[3.6,3.7)",0.00492035704953381
"US National",2011-04-17,1,2011-04-24,"pmf","[3.7,3.8)",0.0045059101641923
"US National",2011-04-17,1,2011-04-24,"pmf","[3.8,3.9)",0.00415448815540302
"US National",2011-04-17,1,2011-04-24,"pmf","[3.9,4.0)",0.00385167119160649
"US National",2011-04-17,1,2011-04-24,"pmf","[4.0,4.1)",0.00361091290101337
"US National",2011-04-17,1,2011-04-24,"pmf","[4.1,4.2)",0.00340220136756408
"US National",2011-04-17,1,2011-04-24,"pmf","[4.2,4.3)",0.0032388447448363
"US National",2011-04-17,1,2011-04-24,"pmf","[4.3,4.4)",0.00310401238679996
"US National",2011-04-17,1,2011-04-24,"pmf","[4.4,4.5)",0.00299484614922728
"US National",2011-04-17,1,2011-04-24,"pmf","[4.5,4.6)",0.00291094334775077
"US National",2011-04-17,1,2011-04-24,"pmf","[4.6,4.7)",0.00284092319120218
"US National",2011-04-17,1,2011-04-24,"pmf","[4.7,4.8)",0.00278931969387723
"US National",2011-04-17,1,2011-04-24,"pmf","[4.8,4.9)",0.00274780567978879
"US National",2011-04-17,1,2011-04-24,"pmf","[4.9,5.0)",0.00271612669381826
"US National",2011-04-17,1,2011-04-24,"pmf","[5.0,5.1)",0.00269244254787543
"US National",2011-04-17,1,2011-04-24,"pmf","[5.1,5.2)",0.0026737192587042
"US National",2011-04-17,1,2011-04-24,"pmf","[5.2,5.3)",0.00266045835319359
"US National",2011-04-17,1,2011-04-24,"pmf","[5.3,5.4)",0.00265013467864757
"US National",2011-04-17,1,2011-04-24,"pmf","[5.4,5.5)",0.00264270800018145
"US National",2011-04-17,1,2011-04-24,"pmf","[5.5,5.6)",0.00263727846928827
"US National",2011-04-17,1,2011-04-24,"pmf","[5.6,5.7)",0.00263323799031121
"US National",2011-04-17,1,2011-04-24,"pmf","[5.7,5.8)",0.00263046528236444
"US National",2011-04-17,1,2011-04-24,"pmf","[5.8,5.9)",0.00262838372990359
"US National",2011-04-17,1,2011-04-24,"pmf","[5.9,6.0)",0.00262697014923279
"US National",2011-04-17,1,2011-04-24,"pmf","[6.0,6.1)",0.00262596044008749
"US National",2011-04-17,1,2011-04-24,"pmf","[6.1,6.2)",0.00262525116831708
"US National",2011-04-17,1,2011-04-24,"pmf","[6.2,6.3)",0.00262477890785885
"US National",2011-04-17,1,2011-04-24,"pmf","[6.3,6.4)",0.00262443773612156
"US National",2011-04-17,1,2011-04-24,"pmf","[6.4,6.5)",0.00262421872448779
"US National",2011-04-17,1,2011-04-24,"pmf","[6.5,6.6)",0.0026240658669332
"US National",2011-04-17,1,2011-04-24,"pmf","[6.6,6.7)",0.00262396460589761
"US National",2011-04-17,1,2011-04-24,"pmf","[6.7,6.8)",0.00262389879824836
"US National",2011-04-17,1,2011-04-24,"pmf","[6.8,6.9)",0.00262385351463632
"US National",2011-04-17,1,2011-04-24,"pmf","[6.9,7.0)",0.00262382565345827
"US National",2011-04-17,1,2011-04-24,"pmf","[7.0,7.1)",0.00262380675396674
"US National",2011-04-17,1,2011-04-24,"pmf","[7.1,7.2)",0.00262379490940544
"US National",2011-04-17,1,2011-04-24,"pmf","[7.2,7.3)",0.00262378732455382
"US National",2011-04-17,1,2011-04-24,"pmf","[7.3,7.4)",0.00262378229681268
"US National",2011-04-17,1,2011-04-24,"pmf","[7.4,7.5)",0.00262377914393159
"US National",2011-04-17,1,2011-04-24,"pmf","[7.5,7.6)",0.00262377683802951
"US National",2011-04-17,1,2011-04-24,"pmf","[7.6,7.7)",0.00262377510152983
"US National",2011-04-17,1,2011-04-24,"pmf","[7.7,7.8)",0.00262377345004404
"US National",2011-04-17,1,2011-04-24,"pmf","[7.8,7.9)",0.00262377151185952
"US National",2011-04-17,1,2011-04-24,"pmf","[7.9,8.0)",0.00262376907027087
"US National",2011-04-17,1,2011-04-24,"pmf","[8.0,8.1)",0.0026237654188526
"US National",2011-04-17,1,2011-04-24,"pmf","[8.1,8.2)",0.00262376033579266
"US National",2011-04-17,1,2011-04-24,"pmf","[8.2,8.3)",0.00262375275551585
"US National",2011-04-17,1,2011-04-24,"pmf","[8.3,8.4)",0.00262374154680962
"US National",2011-04-17,1,2011-04-24,"pmf","[8.4,8.5)",0.00262372587095337
"US National",2011-04-17,1,2011-04-24,"pmf","[8.5,8.6)",0.00262370184447097
"US National",2011-04-17,1,2011-04-24,"pmf","[8.6,8.7)",0.00262366934359241
"US National",2011-04-17,1,2011-04-24,"pmf","[8.7,8.8)",0.00262362169040921
"US National",2011-04-17,1,2011-04-24,"pmf","[8.8,8.9)",0.00262355486954498
"US National",2011-04-17,1,2011-04-24,"pmf","[8.9,9.0)",0.00262346340586985
"US National",2011-04-17,1,2011-04-24,"pmf","[9.0,9.1)",0.00262333079757704
"US National",2011-04-17,1,2011-04-24,"pmf","[9.1,9.2)",0.0026231577372055
"US National",2011-04-17,1,2011-04-24,"pmf","[9.2,9.3)",0.00262291122770748
"US National",2011-04-17,1,2011-04-24,"pmf","[9.3,9.4)",0.00262258550837883
"US National",2011-04-17,1,2011-04-24,"pmf","[9.4,9.5)",0.00262214858471154
"US National",2011-04-17,1,2011-04-24,"pmf","[9.5,9.6)",0.00262154979136746
"US National",2011-04-17,1,2011-04-24,"pmf","[9.6,9.7)",0.00262079481340856
"US National",2011-04-17,1,2011-04-24,"pmf","[9.7,9.8)",0.0026197498157712
