"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National",2011-03-20,1,2011-03-27,"pmf","[0.0,0.1)",5.13293138994732e-06
"US National",2011-03-20,1,2011-03-27,"pmf","[0.1,0.2)",2.26436759640149e-05
"US National",2011-03-20,1,2011-03-27,"pmf","[0.2,0.3)",2.28268951356816e-05
"US National",2011-03-20,1,2011-03-27,"pmf","[0.3,0.4)",2.29391825165137e-05
"US National",2011-03-20,1,2011-03-27,"pmf","[0.4,0.5)",2.299916602469e-05
"US National",2011-03-20,1,2011-03-27,"pmf","[0.5,0.6)",2.296227066806e-05
"US National",2011-03-20,1,2011-03-27,"pmf","[0.6,0.7)",2.29269802664308e-05
"US National",2011-03-20,1,2011-03-27,"pmf","[0.7,0.8)",2.28932948197373e-05
"US National",2011-03-20,1,2011-03-27,"pmf","[0.8,0.9)",2.28612143278171e-05
"US National",2011-03-20,1,2011-03-27,"pmf","[0.9,1.0)",2.28307387910675e-05
"US National",2011-03-20,1,2011-03-27,"pmf","[1.0,1.1)",2.28018682091557e-05
"US National",2011-03-20,1,2011-03-27,"pmf","[1.1,1.2)",2.27746025822122e-05
"US National",2011-03-20,1,2011-03-27,"pmf","[1.2,1.3)",0.0179673782224448
"US National",2011-03-20,1,2011-03-27,"pmf","[1.3,1.4)",0.979107368516798
"US National",2011-03-20,1,2011-03-27,"pmf","[1.4,1.5)",2.27024354307651e-05
"US National",2011-03-20,1,2011-03-27,"pmf","[1.5,1.6)",2.26815896239612e-05
"US National",2011-03-20,1,2011-03-27,"pmf","[1.6,1.7)",2.28110688062741e-05
"US National",2011-03-20,1,2011-03-27,"pmf","[1.7,1.8)",2.29650592742022e-05
"US National",2011-03-20,1,2011-03-27,"pmf","[1.8,1.9)",2.29564672625087e-05
"US National",2011-03-20,1,2011-03-27,"pmf","[1.9,2.0)",2.29270451105138e-05
"US National",2011-03-20,1,2011-03-27,"pmf","[2.0,2.1)",2.28992279135477e-05
"US National",2011-03-20,1,2011-03-27,"pmf","[2.1,2.2)",2.28730156713487e-05
