"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National",2019-12-22,1,2019-12-29,"pmf","[0.0,0.1)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[0.1,0.2)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[0.2,0.3)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[0.3,0.4)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[0.4,0.5)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[0.5,0.6)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[0.6,0.7)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[0.7,0.8)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[0.8,0.9)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[0.9,1.0)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[1.0,1.1)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[1.1,1.2)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[1.2,1.3)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[1.3,1.4)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[1.4,1.5)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[1.5,1.6)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[1.6,1.7)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[1.7,1.8)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[1.8,1.9)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[1.9,2.0)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[2.0,2.1)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[2.1,2.2)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[2.2,2.3)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[2.3,2.4)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[2.4,2.5)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[2.5,2.6)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[2.6,2.7)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[2.7,2.8)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[2.8,2.9)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[2.9,3.0)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[3.0,3.1)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[3.1,3.2)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[3.2,3.3)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[3.3,3.4)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[3.4,3.5)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[3.5,3.6)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[3.6,3.7)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[3.7,3.8)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[3.8,3.9)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[3.9,4.0)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[4.0,4.1)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[4.1,4.2)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[4.2,4.3)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[4.3,4.4)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[4.4,4.5)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[4.5,4.6)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[4.6,4.7)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[4.7,4.8)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[4.8,4.9)",0
"US National",2019-12-22,1,2019-12-29,"pmf","[4.9,5.0)",1.36717772484629e-05
"US National",2019-12-22,1,2019-12-29,"pmf","[5.0,5.1)",3.96932397752146e-05
"US National",2019-12-22,1,2019-12-29,"pmf","[5.1,5.2)",9.27122091011976e-05
"US National",2019-12-22,1,2019-12-29,"pmf","[5.2,5.3)",0.00015485607732056
"US National",2019-12-22,1,2019-12-29,"pmf","[5.3,5.4)",0.00015787351978939
"US National",2019-12-22,1,2019-12-29,"pmf","[5.4,5.5)",0.00028234201025012
"US National",2019-12-22,1,2019-12-29,"pmf","[5.5,5.6)",0.00033917250688494
"US National",2019-12-22,1,2019-12-29,"pmf","[5.6,5.7)",0.00044013813862774
"US National",2019-12-22,1,2019-12-29,"pmf","[5.7,5.8)",0.00080185760357027
"US National",2019-12-22,1,2019-12-29,"pmf","[5.8,5.9)",0.00126136443359369
"US National",2019-12-22,1,2019-12-29,"pmf","[5.9,6.0)",0.00181938051538819
"US National",2019-12-22,1,2019-12-29,"pmf","[6.0,6.1)",0.00251085286955093
"US National",2019-12-22,1,2019-12-29,"pmf","[6.1,6.2)",0.00425906802093635
"US National",2019-12-22,1,2019-12-29,"pmf","[6.2,6.3)",0.00529403371994245
"US National",2019-12-22,1,2019-12-29,"pmf","[6.3,6.4)",0.00892163341105837
"US National",2019-12-22,1,2019-12-29,"pmf","[6.4,6.5)",0.00993254028645946
"US National",2019-12-22,1,2019-12-29,"pmf","[6.5,6.6)",0.0165359219938342
"US National",2019-12-22,1,2019-12-29,"pmf","[6.6,6.7)",0.0222039375770737
"US National",2019-12-22,1,2019-12-29,"pmf","[6.7,6.8)",0.020372918272935
"US National",2019-12-22,1,2019-12-29,"pmf","[6.8,6.9)",0.032269171369955
"US National",2019-12-22,1,2019-12-29,"pmf","[6.9,7.0)",0.0342681746587587
"US National",2019-12-22,1,2019-12-29,"pmf","[7.0,7.1)",0.0419303601253351
"US National",2019-12-22,1,2019-12-29,"pmf","[7.1,7.2)",0.0481008435560173
"US National",2019-12-22,1,2019-12-29,"pmf","[7.2,7.3)",0.064097514449541
"US National",2019-12-22,1,2019-12-29,"pmf","[7.3,7.4)",0.0583571913792984
"US National",2019-12-22,1,2019-12-29,"pmf","[7.4,7.5)",0.070972930751523
"US National",2019-12-22,1,2019-12-29,"pmf","[7.5,7.6)",0.0674383740000686
"US National",2019-12-22,1,2019-12-29,"pmf","[7.6,7.7)",0.0717277024250114
"US National",2019-12-22,1,2019-12-29,"pmf","[7.7,7.8)",0.0574729546568113
"US National",2019-12-22,1,2019-12-29,"pmf","[7.8,7.9)",0.0662178270015066
"US National",2019-12-22,1,2019-12-29,"pmf","[7.9,8.0)",0.0493031443391177
"US National",2019-12-22,1,2019-12-29,"pmf","[8.0,8.1)",0.0487598109151462
"US National",2019-12-22,1,2019-12-29,"pmf","[8.1,8.2)",0.043511640668184
"US National",2019-12-22,1,2019-12-29,"pmf","[8.2,8.3)",0.0351891202098982
"US National",2019-12-22,1,2019-12-29,"pmf","[8.3,8.4)",0.0301847541255658
"US National",2019-12-22,1,2019-12-29,"pmf","[8.4,8.5)",0.0210853130582568
"US National",2019-12-22,1,2019-12-29,"pmf","[8.5,8.6)",0.0164163641073547
"US National",2019-12-22,1,2019-12-29,"pmf","[8.6,8.7)",0.0127914379018549
"US National",2019-12-22,1,2019-12-29,"pmf","[8.7,8.8)",0.00918823598722138
"US National",2019-12-22,1,2019-12-29,"pmf","[8.8,8.9)",0.00719942741528045
"US National",2019-12-22,1,2019-12-29,"pmf","[8.9,9.0)",0.00507691005981265
"US National",2019-12-22,1,2019-12-29,"pmf","[9.0,9.1)",0.00420014921353593
"US National",2019-12-22,1,2019-12-29,"pmf","[9.1,9.2)",0.00279835424577137
"US National",2019-12-22,1,2019-12-29,"pmf","[9.2,9.3)",0.00216845266737379
"US National",2019-12-22,1,2019-12-29,"pmf","[9.3,9.4)",0.00161015836295901
"US National",2019-12-22,1,2019-12-29,"pmf","[9.4,9.5)",0.00085762320531671
"US National",2019-12-22,1,2019-12-29,"pmf","[9.5,9.6)",0.00049967322163717
"US National",2019-12-22,1,2019-12-29,"pmf","[9.6,9.7)",0.00032752235055987
"US National",2019-12-22,1,2019-12-29,"pmf","[9.7,9.8)",0.00028130354233865
"US National",2019-12-22,1,2019-12-29,"pmf","[9.8,9.9)",0.00021152983182295
"US National",2019-12-22,1,2019-12-29,"pmf","[9.9,10.0)",5.20620138252144e-05
