"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National",2013-02-17,1,2013-02-24,"pmf","[0.0,0.1)",1.0764388983013e-05
"US National",2013-02-17,1,2013-02-24,"pmf","[0.1,0.2)",1.19713539126142e-05
"US National",2013-02-17,1,2013-02-24,"pmf","[0.2,0.3)",1.48823532671543e-05
"US National",2013-02-17,1,2013-02-24,"pmf","[0.3,0.4)",2.16120319343364e-05
"US National",2013-02-17,1,2013-02-24,"pmf","[0.4,0.5)",3.65217186567153e-05
"US National",2013-02-17,1,2013-02-24,"pmf","[0.5,0.6)",6.81714014250872e-05
"US National",2013-02-17,1,2013-02-24,"pmf","[0.6,0.7)",0.00013252700283495
"US National",2013-02-17,1,2013-02-24,"pmf","[0.7,0.8)",0.00025783835312043
"US National",2013-02-17,1,2013-02-24,"pmf","[0.8,0.9)",0.00049141502392037
"US National",2013-02-17,1,2013-02-24,"pmf","[0.9,1.0)",0.00090801829654138
"US National",2013-02-17,1,2013-02-24,"pmf","[1.0,1.1)",0.00161866329132541
"US National",2013-02-17,1,2013-02-24,"pmf","[1.1,1.2)",0.00277732099939443
"US National",2013-02-17,1,2013-02-24,"pmf","[1.2,1.3)",0.00458160128845874
"US National",2013-02-17,1,2013-02-24,"pmf","[1.3,1.4)",0.00726256408344291
"US National",2013-02-17,1,2013-02-24,"pmf","[1.4,1.5)",0.0110591590213524
"US National",2013-02-17,1,2013-02-24,"pmf","[1.5,1.6)",0.016175207880686
"US National",2013-02-17,1,2013-02-24,"pmf","[1.6,1.7)",0.022721602809283
"US National",2013-02-17,1,2013-02-24,"pmf","[1.7,1.8)",0.0306528175723363
"US National",2013-02-17,1,2013-02-24,"pmf","[1.8,1.9)",0.0397130643469866
"US National",2013-02-17,1,2013-02-24,"pmf","[1.9,2.0)",0.0494107770517657
"US National",2013-02-17,1,2013-02-24,"pmf","[2.0,2.1)",0.059037984361504
"US National",2013-02-17,1,2013-02-24,"pmf","[2.1,2.2)",0.0677424129569451
"US National",2013-02-17,1,2013-02-24,"pmf","[2.2,2.3)",0.0746462072983828
"US National",2013-02-17,1,2013-02-24,"pmf","[2.3,2.4)",0.0789899760412807
"US National",2013-02-17,1,2013-02-24,"pmf","[2.4,2.5)",0.0802699442532453
"US National",2013-02-17,1,2013-02-24,"pmf","[2.5,2.6)",0.0783340490161655
"US National",2013-02-17,1,2013-02-24,"pmf","[2.6,2.7)",0.0734116509213136
"US National",2013-02-17,1,2013-02-24,"pmf","[2.7,2.8)",0.0660688404582158
"US National",2013-02-17,1,2013-02-24,"pmf","[2.8,2.9)",0.0571013726701636
