"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National",2014-02-02,1,2014-02-09,"pmf","[0.0,0.1)",5.02803972861667e-05
"US National",2014-02-02,1,2014-02-09,"pmf","[0.1,0.2)",5.02803972861667e-05
"US National",2014-02-02,1,2014-02-09,"pmf","[0.2,0.3)",5.02803972861667e-05
"US National",2014-02-02,1,2014-02-09,"pmf","[0.3,0.4)",5.02803972861667e-05
"US National",2014-02-02,1,2014-02-09,"pmf","[0.4,0.5)",5.02803972861667e-05
"US National",2014-02-02,1,2014-02-09,"pmf","[0.5,0.6)",5.02803972861667e-05
"US National",2014-02-02,1,2014-02-09,"pmf","[0.6,0.7)",5.02803972861667e-05
"US National",2014-02-02,1,2014-02-09,"pmf","[0.7,0.8)",5.02803972861667e-05
"US National",2014-02-02,1,2014-02-09,"pmf","[0.8,0.9)",5.02803972861667e-05
"US National",2014-02-02,1,2014-02-09,"pmf","[0.9,1.0)",5.02803972861667e-05
"US National",2014-02-02,1,2014-02-09,"pmf","[1.0,1.1)",5.02803972861667e-05
"US National",2014-02-02,1,2014-02-09,"pmf","[1.1,1.2)",5.02803972861667e-05
"US National",2014-02-02,1,2014-02-09,"pmf","[1.2,1.3)",5.02803972861667e-05
"US National",2014-02-02,1,2014-02-09,"pmf","[1.3,1.4)",5.02803972861667e-05
"US National",2014-02-02,1,2014-02-09,"pmf","[1.4,1.5)",5.02803972861667e-05
"US National",2014-02-02,1,2014-02-09,"pmf","[1.5,1.6)",5.02803972861667e-05
"US National",2014-02-02,1,2014-02-09,"pmf","[1.6,1.7)",0.00038130781080016
"US National",2014-02-02,1,2014-02-09,"pmf","[1.7,1.8)",0.00104336263782817
"US National",2014-02-02,1,2014-02-09,"pmf","[1.8,1.9)",0.00203644487837016
"US National",2014-02-02,1,2014-02-09,"pmf","[1.9,2.0)",0.00667082866756615
"US National",2014-02-02,1,2014-02-09,"pmf","[2.0,2.1)",0.0136224043513601
"US National",2014-02-02,1,2014-02-09,"pmf","[2.1,2.2)",0.0185878155540701
"US National",2014-02-02,1,2014-02-09,"pmf","[2.2,2.3)",0.0311668572676021
"US National",2014-02-02,1,2014-02-09,"pmf","[2.3,2.4)",0.0381184329513961
"US National",2014-02-02,1,2014-02-09,"pmf","[2.4,2.5)",0.0540077488000681
"US National",2014-02-02,1,2014-02-09,"pmf","[2.5,2.6)",0.065593708273058
"US National",2014-02-02,1,2014-02-09,"pmf","[2.6,2.7)",0.067579872754142
"US National",2014-02-02,1,2014-02-09,"pmf","[2.7,2.8)",0.081814051535244
"US National",2014-02-02,1,2014-02-09,"pmf","[2.8,2.9)",0.07320733878388
"US National",2014-02-02,1,2014-02-09,"pmf","[2.9,3.0)",0.069566037235226
"US National",2014-02-02,1,2014-02-09,"pmf","[3.0,3.1)",0.07817274998659
"US National",2014-02-02,1,2014-02-09,"pmf","[3.1,3.2)",0.066255763100086
"US National",2014-02-02,1,2014-02-09,"pmf","[3.2,3.3)",0.066917817927114
"US National",2014-02-02,1,2014-02-09,"pmf","[3.3,3.4)",0.0503664472514141
"US National",2014-02-02,1,2014-02-09,"pmf","[3.4,3.5)",0.0434148715676201
"US National",2014-02-02,1,2014-02-09,"pmf","[3.5,3.6)",0.0420907619135641
"US National",2014-02-02,1,2014-02-09,"pmf","[3.6,3.7)",0.0308358298540881
"US National",2014-02-02,1,2014-02-09,"pmf","[3.7,3.8)",0.0232221993432661
"US National",2014-02-02,1,2014-02-09,"pmf","[3.8,3.9)",0.0202429526216401
"US National",2014-02-02,1,2014-02-09,"pmf","[3.9,4.0)",0.0179257607270421
"US National",2014-02-02,1,2014-02-09,"pmf","[4.0,4.1)",0.00865699314865015
"US National",2014-02-02,1,2014-02-09,"pmf","[4.1,4.2)",0.00600877384053816
"US National",2014-02-02,1,2014-02-09,"pmf","[4.2,4.3)",0.00435363677296816
"US National",2014-02-02,1,2014-02-09,"pmf","[4.3,4.4)",0.00369158194594016
