"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 1",2020-03-08,1,2020-03-15,"pmf","[0.0,0.1)",1.80676096872584e-08
"HHS Region 1",2020-03-08,1,2020-03-15,"pmf","[0.1,0.2)",4.75957113670928e-08
"HHS Region 1",2020-03-08,1,2020-03-15,"pmf","[0.2,0.3)",6.58936852761942e-08
"HHS Region 1",2020-03-08,1,2020-03-15,"pmf","[0.3,0.4)",8.75454769680924e-08
"HHS Region 1",2020-03-08,1,2020-03-15,"pmf","[0.4,0.5)",1.11830998829562e-07
"HHS Region 1",2020-03-08,1,2020-03-15,"pmf","[0.5,0.6)",1.37580271528372e-07
"HHS Region 1",2020-03-08,1,2020-03-15,"pmf","[0.6,0.7)",1.63286832404864e-07
"HHS Region 1",2020-03-08,1,2020-03-15,"pmf","[0.7,0.8)",1.87349056274526e-07
"HHS Region 1",2020-03-08,1,2020-03-15,"pmf","[0.8,0.9)",2.08395700711845e-07
"HHS Region 1",2020-03-08,1,2020-03-15,"pmf","[0.9,1.0)",2.25599921068285e-07
"HHS Region 1",2020-03-08,1,2020-03-15,"pmf","[1.0,1.1)",2.38853260906477e-07
"HHS Region 1",2020-03-08,1,2020-03-15,"pmf","[1.1,1.2)",2.48705140320275e-07
"HHS Region 1",2020-03-08,1,2020-03-15,"pmf","[1.2,1.3)",0.00100025106537621
"HHS Region 1",2020-03-08,1,2020-03-15,"pmf","[1.3,1.4)",2.61754294338521e-07
"HHS Region 1",2020-03-08,1,2020-03-15,"pmf","[1.4,1.5)",2.66087233225994e-07
"HHS Region 1",2020-03-08,1,2020-03-15,"pmf","[1.5,1.6)",2.68628280873233e-07
"HHS Region 1",2020-03-08,1,2020-03-15,"pmf","[1.6,1.7)",2.68243425608854e-07
"HHS Region 1",2020-03-08,1,2020-03-15,"pmf","[1.7,1.8)",0.00300024843729098
"HHS Region 1",2020-03-08,1,2020-03-15,"pmf","[1.8,1.9)",2.52864621319487e-07
"HHS Region 1",2020-03-08,1,2020-03-15,"pmf","[1.9,2.0)",0.00200022590733914
"HHS Region 1",2020-03-08,1,2020-03-15,"pmf","[2.0,2.1)",2.13017959192651e-07
"HHS Region 1",2020-03-08,1,2020-03-15,"pmf","[2.1,2.2)",1.85808762546876e-07
