"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National",2017-12-17,1,2017-12-24,"pmf","[0.0,0.1)",2.12816427e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[0.1,0.2)",4.25632854e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[0.2,0.3)",4.96747988e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[0.3,0.4)",8.70607335e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[0.4,0.5)",0.0001515819308
"US National",2017-12-17,1,2017-12-24,"pmf","[0.5,0.6)",0.0002562752884
"US National",2017-12-17,1,2017-12-24,"pmf","[0.6,0.7)",0.0004208142886
"US National",2017-12-17,1,2017-12-24,"pmf","[0.7,0.8)",0.0006713648044
"US National",2017-12-17,1,2017-12-24,"pmf","[0.8,0.9)",0.0010406153392
"US National",2017-12-17,1,2017-12-24,"pmf","[0.9,1.0)",0.0015674145015
"US National",2017-12-17,1,2017-12-24,"pmf","[1.0,1.1)",0.0022950889914
"US National",2017-12-17,1,2017-12-24,"pmf","[1.1,1.2)",0.0032677274402
"US National",2017-12-17,1,2017-12-24,"pmf","[1.2,1.3)",0.0045257233417
"US National",2017-12-17,1,2017-12-24,"pmf","[1.3,1.4)",0.0060988758334
"US National",2017-12-17,1,2017-12-24,"pmf","[1.4,1.5)",0.0080000442349
"US National",2017-12-17,1,2017-12-24,"pmf","[1.5,1.6)",0.010220069291
"US National",2017-12-17,1,2017-12-24,"pmf","[1.6,1.7)",0.0127233691122
"US National",2017-12-17,1,2017-12-24,"pmf","[1.7,1.8)",0.0154472704467
"US National",2017-12-17,1,2017-12-24,"pmf","[1.8,1.9)",0.018305556891
"US National",2017-12-17,1,2017-12-24,"pmf","[1.9,2.0)",0.021195464996
"US National",2017-12-17,1,2017-12-24,"pmf","[2.0,2.1)",0.0240084454693
"US National",2017-12-17,1,2017-12-24,"pmf","[2.1,2.2)",0.0266408329047
"US National",2017-12-17,1,2017-12-24,"pmf","[2.2,2.3)",0.0290042764295
"US National",2017-12-17,1,2017-12-24,"pmf","[2.3,2.4)",0.031032155353
"US National",2017-12-17,1,2017-12-24,"pmf","[2.4,2.5)",0.0326826847775
"US National",2017-12-17,1,2017-12-24,"pmf","[2.5,2.6)",0.033935775296
"US National",2017-12-17,1,2017-12-24,"pmf","[2.6,2.7)",0.0347855712035
"US National",2017-12-17,1,2017-12-24,"pmf","[2.7,2.8)",0.0352328323875
"US National",2017-12-17,1,2017-12-24,"pmf","[2.8,2.9)",0.0352777832009
"US National",2017-12-17,1,2017-12-24,"pmf","[2.9,3.0)",0.0349158281979
"US National",2017-12-17,1,2017-12-24,"pmf","[3.0,3.1)",0.0341398339426
"US National",2017-12-17,1,2017-12-24,"pmf","[3.1,3.2)",0.032944385952
"US National",2017-12-17,1,2017-12-24,"pmf","[3.2,3.3)",0.0313344138517
"US National",2017-12-17,1,2017-12-24,"pmf","[3.3,3.4)",0.0293346825575
"US National",2017-12-17,1,2017-12-24,"pmf","[3.4,3.5)",0.0269951800656
"US National",2017-12-17,1,2017-12-24,"pmf","[3.5,3.6)",0.0243933884002
"US National",2017-12-17,1,2017-12-24,"pmf","[3.6,3.7)",0.0216290491978
"US National",2017-12-17,1,2017-12-24,"pmf","[3.7,3.8)",0.0188146573999
"US National",2017-12-17,1,2017-12-24,"pmf","[3.8,3.9)",0.016063808565
"US National",2017-12-17,1,2017-12-24,"pmf","[3.9,4.0)",0.0134784777038
"US National",2017-12-17,1,2017-12-24,"pmf","[4.0,4.1)",0.0111390916308
"US National",2017-12-17,1,2017-12-24,"pmf","[4.1,4.2)",0.0090978567222
"US National",2017-12-17,1,2017-12-24,"pmf","[4.2,4.3)",0.0073788751201
"US National",2017-12-17,1,2017-12-24,"pmf","[4.3,4.4)",0.0059820392296
"US National",2017-12-17,1,2017-12-24,"pmf","[4.4,4.5)",0.0048896180018
"US National",2017-12-17,1,2017-12-24,"pmf","[4.5,4.6)",0.004075680902
"US National",2017-12-17,1,2017-12-24,"pmf","[4.6,4.7)",0.0035137862572
"US National",2017-12-17,1,2017-12-24,"pmf","[4.7,4.8)",0.0031841115317
"US National",2017-12-17,1,2017-12-24,"pmf","[4.8,4.9)",0.0030772403213
"US National",2017-12-17,1,2017-12-24,"pmf","[4.9,5.0)",0.0031936516276
"US National",2017-12-17,1,2017-12-24,"pmf","[5.0,5.1)",0.0035399773634
"US National",2017-12-17,1,2017-12-24,"pmf","[5.1,5.2)",0.0041225117911
"US National",2017-12-17,1,2017-12-24,"pmf","[5.2,5.3)",0.0049380648837
"US National",2017-12-17,1,2017-12-24,"pmf","[5.3,5.4)",0.0059664470061
"US National",2017-12-17,1,2017-12-24,"pmf","[5.4,5.5)",0.0071639420257
"US National",2017-12-17,1,2017-12-24,"pmf","[5.5,5.6)",0.0084605203052
"US National",2017-12-17,1,2017-12-24,"pmf","[5.6,5.7)",0.0097627750755
"US National",2017-12-17,1,2017-12-24,"pmf","[5.7,5.8)",0.0109624233345
"US National",2017-12-17,1,2017-12-24,"pmf","[5.8,5.9)",0.0119498197062
"US National",2017-12-17,1,2017-12-24,"pmf","[5.9,6.0)",0.0126290527699
"US National",2017-12-17,1,2017-12-24,"pmf","[6.0,6.1)",0.0129332317695
"US National",2017-12-17,1,2017-12-24,"pmf","[6.1,6.2)",0.0128363595998
"US National",2017-12-17,1,2017-12-24,"pmf","[6.2,6.3)",0.0123585064919
"US National",2017-12-17,1,2017-12-24,"pmf","[6.3,6.4)",0.0115646681011
"US National",2017-12-17,1,2017-12-24,"pmf","[6.4,6.5)",0.0105540871423
"US National",2017-12-17,1,2017-12-24,"pmf","[6.5,6.6)",0.0094462617165
"US National",2017-12-17,1,2017-12-24,"pmf","[6.6,6.7)",0.0083639122
"US National",2017-12-17,1,2017-12-24,"pmf","[6.7,6.8)",0.0074160505051
"US National",2017-12-17,1,2017-12-24,"pmf","[6.8,6.9)",0.006683627069
"US National",2017-12-17,1,2017-12-24,"pmf","[6.9,7.0)",0.0062107562788
"US National",2017-12-17,1,2017-12-24,"pmf","[7.0,7.1)",0.0060021953534
"US National",2017-12-17,1,2017-12-24,"pmf","[7.1,7.2)",0.006025439413
"US National",2017-12-17,1,2017-12-24,"pmf","[7.2,7.3)",0.0062180089646
"US National",2017-12-17,1,2017-12-24,"pmf","[7.3,7.4)",0.0064984265892
"US National",2017-12-17,1,2017-12-24,"pmf","[7.4,7.5)",0.0067789019395
"US National",2017-12-17,1,2017-12-24,"pmf","[7.5,7.6)",0.0069783407507
"US National",2017-12-17,1,2017-12-24,"pmf","[7.6,7.7)",0.0070327792629
"US National",2017-12-17,1,2017-12-24,"pmf","[7.7,7.8)",0.0069032220512
"US National",2017-12-17,1,2017-12-24,"pmf","[7.8,7.9)",0.0065786532528
"US National",2017-12-17,1,2017-12-24,"pmf","[7.9,8.0)",0.0060752923166
"US National",2017-12-17,1,2017-12-24,"pmf","[8.0,8.1)",0.0054307636246
"US National",2017-12-17,1,2017-12-24,"pmf","[8.1,8.2)",0.0046959280418
"US National",2017-12-17,1,2017-12-24,"pmf","[8.2,8.3)",0.0039262622334
"US National",2017-12-17,1,2017-12-24,"pmf","[8.3,8.4)",0.0031735105064
"US National",2017-12-17,1,2017-12-24,"pmf","[8.4,8.5)",0.0024794648891
"US National",2017-12-17,1,2017-12-24,"pmf","[8.5,8.6)",0.001872358607
"US National",2017-12-17,1,2017-12-24,"pmf","[8.6,8.7)",0.0013664671517
"US National",2017-12-17,1,2017-12-24,"pmf","[8.7,8.8)",0.0009638074604
"US National",2017-12-17,1,2017-12-24,"pmf","[8.8,8.9)",0.0006569753559
"US National",2017-12-17,1,2017-12-24,"pmf","[8.9,9.0)",0.0004328422276
"US National",2017-12-17,1,2017-12-24,"pmf","[9.0,9.1)",0.0002756111781
"US National",2017-12-17,1,2017-12-24,"pmf","[9.1,9.2)",0.0001695829103
"US National",2017-12-17,1,2017-12-24,"pmf","[9.2,9.3)",0.0001008577456
"US National",2017-12-17,1,2017-12-24,"pmf","[9.3,9.4)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[9.4,9.5)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[9.5,9.6)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[9.6,9.7)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[9.7,9.8)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[9.8,9.9)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[9.9,10.0)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[10.0,10.1)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[10.1,10.2)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[10.2,10.3)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[10.3,10.4)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[10.4,10.5)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[10.5,10.6)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[10.6,10.7)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[10.7,10.8)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[10.8,10.9)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[10.9,11.0)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[11.0,11.1)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[11.1,11.2)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[11.2,11.3)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[11.3,11.4)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[11.4,11.5)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[11.5,11.6)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[11.6,11.7)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[11.7,11.8)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[11.8,11.9)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[11.9,12.0)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[12.0,12.1)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[12.1,12.2)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[12.2,12.3)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[12.3,12.4)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[12.4,12.5)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[12.5,12.6)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[12.6,12.7)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[12.7,12.8)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[12.8,12.9)",7.73016223e-05
"US National",2017-12-17,1,2017-12-24,"pmf","[12.9,13.0)",7.73016223e-05
