"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[0.0,0.1)",0
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[0.1,0.2)",0
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[0.2,0.3)",0
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[0.3,0.4)",0
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[0.4,0.5)",0
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[0.5,0.6)",0
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[0.6,0.7)",0.00164
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[0.7,0.8)",5e-04
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[0.8,0.9)",1e-04
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[0.9,1.0)",0.00088
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[1.0,1.1)",0.00066
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[1.1,1.2)",0.00086
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[1.2,1.3)",0.00304
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[1.3,1.4)",0.01514
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[1.4,1.5)",0.03354
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[1.5,1.6)",0.04374
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[1.6,1.7)",0.0356
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[1.7,1.8)",0.0253
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[1.8,1.9)",0.04004
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[1.9,2.0)",0.06124
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[2.0,2.1)",0.06788
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[2.1,2.2)",0.06706
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[2.2,2.3)",0.07074
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[2.3,2.4)",0.06424
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[2.4,2.5)",0.05604
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[2.5,2.6)",0.04548
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[2.6,2.7)",0.03544
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[2.7,2.8)",0.02646
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[2.8,2.9)",0.01712
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[2.9,3.0)",0.0119
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[3.0,3.1)",0.01132
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[3.1,3.2)",0.01388
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[3.2,3.3)",0.01384
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[3.3,3.4)",0.0126
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[3.4,3.5)",0.00812
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[3.5,3.6)",0.00602
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[3.6,3.7)",0.00454
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[3.7,3.8)",0.0071
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[3.8,3.9)",0.00878
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[3.9,4.0)",0.0116
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[4.0,4.1)",0.01528
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[4.1,4.2)",0.01624
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[4.2,4.3)",0.0159
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[4.3,4.4)",0.0148
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[4.4,4.5)",0.01158
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[4.5,4.6)",0.00998
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[4.6,4.7)",0.00846
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[4.7,4.8)",0.00606
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[4.8,4.9)",0.00552
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[4.9,5.0)",0.00428
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[5.0,5.1)",0.00372
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[5.1,5.2)",0.00424
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[5.2,5.3)",0.00558
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[5.3,5.4)",0.00638
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[5.4,5.5)",0.00776
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[5.5,5.6)",0.00834
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[5.6,5.7)",0.00776
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[5.7,5.8)",0.00636
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[5.8,5.9)",0.00434
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[5.9,6.0)",0.00386
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[6.0,6.1)",0.00336
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[6.1,6.2)",0.00128
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[6.2,6.3)",7e-04
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[6.3,6.4)",5e-04
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[6.4,6.5)",0.00018
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[6.5,6.6)",2e-05
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[6.6,6.7)",0
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[6.7,6.8)",0
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[6.8,6.9)",2e-05
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[6.9,7.0)",0
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[7.0,7.1)",0
"HHS Region 1",2013-12-08,1,2013-12-15,"pmf","[7.1,7.2)",0
