"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[0.0,0.1)",0
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[0.1,0.2)",0
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[0.2,0.3)",0
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[0.3,0.4)",0.00148
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[0.4,0.5)",0.0011
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[0.5,0.6)",0.0013
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[0.6,0.7)",0.02042
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[0.7,0.8)",0.06622
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[0.8,0.9)",0.0736
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[0.9,1.0)",0.10422
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[1.0,1.1)",0.1594
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[1.1,1.2)",0.12874
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[1.2,1.3)",0.0805
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[1.3,1.4)",0.05076
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[1.4,1.5)",0.0506
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[1.5,1.6)",0.0564
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[1.6,1.7)",0.05024
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[1.7,1.8)",0.03598
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[1.8,1.9)",0.03182
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[1.9,2.0)",0.02868
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[2.0,2.1)",0.02126
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[2.1,2.2)",0.00922
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[2.2,2.3)",0.0026
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[2.3,2.4)",0.00134
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[2.4,2.5)",0.00118
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[2.5,2.6)",0.00182
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[2.6,2.7)",0.00256
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[2.7,2.8)",0.00228
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[2.8,2.9)",0.00236
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[2.9,3.0)",0.00126
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[3.0,3.1)",0.00114
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[3.1,3.2)",0.00068
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[3.2,3.3)",0.0013
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[3.3,3.4)",0.00162
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[3.4,3.5)",0.00198
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[3.5,3.6)",0.00224
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[3.6,3.7)",0.00158
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[3.7,3.8)",0.00092
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[3.8,3.9)",0.00044
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[3.9,4.0)",0.00026
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[4.0,4.1)",0.00018
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[4.1,4.2)",2e-05
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[4.2,4.3)",0
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[4.3,4.4)",4e-05
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[4.4,4.5)",0
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[4.5,4.6)",2e-05
"HHS Region 1",2012-09-30,1,2012-10-07,"pmf","[4.6,4.7)",6e-05
