"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National",2018-11-11,1,2018-11-18,"pmf","[0.0,0.1)",9.9869171385485e-06
"US National",2018-11-11,1,2018-11-18,"pmf","[0.1,0.2)",9.9869171385485e-06
"US National",2018-11-11,1,2018-11-18,"pmf","[0.2,0.3)",9.9869171385485e-06
"US National",2018-11-11,1,2018-11-18,"pmf","[0.3,0.4)",9.9869171385485e-06
"US National",2018-11-11,1,2018-11-18,"pmf","[0.4,0.5)",6.99084199698395e-05
"US National",2018-11-11,1,2018-11-18,"pmf","[0.5,0.6)",0.00035952901698774
"US National",2018-11-11,1,2018-11-18,"pmf","[0.6,0.7)",0.00181761891921583
"US National",2018-11-11,1,2018-11-18,"pmf","[0.7,0.8)",0.00483366789505748
"US National",2018-11-11,1,2018-11-18,"pmf","[0.8,0.9)",0.0106660275039698
"US National",2018-11-11,1,2018-11-18,"pmf","[0.9,1.0)",0.018735456551917
"US National",2018-11-11,1,2018-11-18,"pmf","[1.0,1.1)",0.029441431724441
"US National",2018-11-11,1,2018-11-18,"pmf","[1.1,1.2)",0.0408464910966634
"US National",2018-11-11,1,2018-11-18,"pmf","[1.2,1.3)",0.0479072415136172
"US National",2018-11-11,1,2018-11-18,"pmf","[1.3,1.4)",0.0584434390947858
"US National",2018-11-11,1,2018-11-18,"pmf","[1.4,1.5)",0.0629175779728556
"US National",2018-11-11,1,2018-11-18,"pmf","[1.5,1.6)",0.0652445296661374
"US National",2018-11-11,1,2018-11-18,"pmf","[1.6,1.7)",0.0668723971597208
"US National",2018-11-11,1,2018-11-18,"pmf","[1.7,1.8)",0.0641659426151741
"US National",2018-11-11,1,2018-11-18,"pmf","[1.8,1.9)",0.0623283498616812
"US National",2018-11-11,1,2018-11-18,"pmf","[1.9,2.0)",0.0576544726408405
"US National",2018-11-11,1,2018-11-18,"pmf","[2.0,2.1)",0.0544286984050893
"US National",2018-11-11,1,2018-11-18,"pmf","[2.1,2.2)",0.0488659855589178
"US National",2018-11-11,1,2018-11-18,"pmf","[2.2,2.3)",0.0429936782814513
"US National",2018-11-11,1,2018-11-18,"pmf","[2.3,2.4)",0.0384096833148575
"US National",2018-11-11,1,2018-11-18,"pmf","[2.4,2.5)",0.0336359369226314
"US National",2018-11-11,1,2018-11-18,"pmf","[2.5,2.6)",0.0289520727846521
"US National",2018-11-11,1,2018-11-18,"pmf","[2.6,2.7)",0.0254067172004674
"US National",2018-11-11,1,2018-11-18,"pmf","[2.7,2.8)",0.0214319241793251
"US National",2018-11-11,1,2018-11-18,"pmf","[2.8,2.9)",0.0185457051262846
"US National",2018-11-11,1,2018-11-18,"pmf","[2.9,3.0)",0.0150502841277926
"US National",2018-11-11,1,2018-11-18,"pmf","[3.0,3.1)",0.0123238557489689
"US National",2018-11-11,1,2018-11-18,"pmf","[3.1,3.2)",0.0110555172723732
"US National",2018-11-11,1,2018-11-18,"pmf","[3.2,3.3)",0.00925787218743446
"US National",2018-11-11,1,2018-11-18,"pmf","[3.3,3.4)",0.00795957295942316
"US National",2018-11-11,1,2018-11-18,"pmf","[3.4,3.5)",0.00666127373141185
"US National",2018-11-11,1,2018-11-18,"pmf","[3.5,3.6)",0.00534300066912345
"US National",2018-11-11,1,2018-11-18,"pmf","[3.6,3.7)",0.00464391646942505
"US National",2018-11-11,1,2018-11-18,"pmf","[3.7,3.8)",0.0036651985898473
"US National",2018-11-11,1,2018-11-18,"pmf","[3.8,3.9)",0.00328569573858246
"US National",2018-11-11,1,2018-11-18,"pmf","[3.9,4.0)",0.00288621905304052
"US National",2018-11-11,1,2018-11-18,"pmf","[4.0,4.1)",0.00189751425632422
"US National",2018-11-11,1,2018-11-18,"pmf","[4.1,4.2)",0.00181761891921583
"US National",2018-11-11,1,2018-11-18,"pmf","[4.2,4.3)",0.00140815531653534
"US National",2018-11-11,1,2018-11-18,"pmf","[4.3,4.4)",0.0010286524652705
"US National",2018-11-11,1,2018-11-18,"pmf","[4.4,4.5)",0.00089882254246936
"US National",2018-11-11,1,2018-11-18,"pmf","[4.5,4.6)",0.00095874404530065
"US National",2018-11-11,1,2018-11-18,"pmf","[4.6,4.7)",0.00078896645394533
"US National",2018-11-11,1,2018-11-18,"pmf","[4.7,4.8)",0.00050933277406597
"US National",2018-11-11,1,2018-11-18,"pmf","[4.8,4.9)",0.00050933277406597
"US National",2018-11-11,1,2018-11-18,"pmf","[4.9,5.0)",0.00029960751415645
"US National",2018-11-11,1,2018-11-18,"pmf","[5.0,5.1)",0.00036951593412629
"US National",2018-11-11,1,2018-11-18,"pmf","[5.1,5.2)",0.0002896205970179
"US National",2018-11-11,1,2018-11-18,"pmf","[5.2,5.3)",0.00022969909418661
"US National",2018-11-11,1,2018-11-18,"pmf","[5.3,5.4)",0.00021971217704806
"US National",2018-11-11,1,2018-11-18,"pmf","[5.4,5.5)",0.00016977759135532
"US National",2018-11-11,1,2018-11-18,"pmf","[5.5,5.6)",5.9921502831291e-05
"US National",2018-11-11,1,2018-11-18,"pmf","[5.6,5.7)",9.9869171385485e-05
"US National",2018-11-11,1,2018-11-18,"pmf","[5.7,5.8)",4.99345856927425e-05
"US National",2018-11-11,1,2018-11-18,"pmf","[5.8,5.9)",0.00011984300566258
"US National",2018-11-11,1,2018-11-18,"pmf","[5.9,6.0)",8.98822542469365e-05
"US National",2018-11-11,1,2018-11-18,"pmf","[6.0,6.1)",4.99345856927425e-05
"US National",2018-11-11,1,2018-11-18,"pmf","[6.1,6.2)",6.99084199698395e-05
"US National",2018-11-11,1,2018-11-18,"pmf","[6.2,6.3)",4.99345856927425e-05
"US National",2018-11-11,1,2018-11-18,"pmf","[6.3,6.4)",5.9921502831291e-05
"US National",2018-11-11,1,2018-11-18,"pmf","[6.4,6.5)",1.9973834277097e-05
