"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National",2013-02-17,1,2013-02-24,"pmf","[0.0,0.1)",0.00046926
"US National",2013-02-17,1,2013-02-24,"pmf","[0.1,0.2)",0.00046926
"US National",2013-02-17,1,2013-02-24,"pmf","[0.2,0.3)",0.00046926
"US National",2013-02-17,1,2013-02-24,"pmf","[0.3,0.4)",0.00046926
"US National",2013-02-17,1,2013-02-24,"pmf","[0.4,0.5)",0.00046926
"US National",2013-02-17,1,2013-02-24,"pmf","[0.5,0.6)",0.00046926
"US National",2013-02-17,1,2013-02-24,"pmf","[0.6,0.7)",0.00046926
"US National",2013-02-17,1,2013-02-24,"pmf","[0.7,0.8)",0.00046926
"US National",2013-02-17,1,2013-02-24,"pmf","[0.8,0.9)",0.00046926
"US National",2013-02-17,1,2013-02-24,"pmf","[0.9,1.0)",0.00057942
"US National",2013-02-17,1,2013-02-24,"pmf","[1.0,1.1)",0.00079973
"US National",2013-02-17,1,2013-02-24,"pmf","[1.1,1.2)",0.00102
"US National",2013-02-17,1,2013-02-24,"pmf","[1.2,1.3)",0.0011302
"US National",2013-02-17,1,2013-02-24,"pmf","[1.3,1.4)",0.0013505
"US National",2013-02-17,1,2013-02-24,"pmf","[1.4,1.5)",0.0022318
"US National",2013-02-17,1,2013-02-24,"pmf","[1.5,1.6)",0.0046552
"US National",2013-02-17,1,2013-02-24,"pmf","[1.6,1.7)",0.0068583
"US National",2013-02-17,1,2013-02-24,"pmf","[1.7,1.8)",0.0097223
"US National",2013-02-17,1,2013-02-24,"pmf","[1.8,1.9)",0.012697
"US National",2013-02-17,1,2013-02-24,"pmf","[1.9,2.0)",0.028118
"US National",2013-02-17,1,2013-02-24,"pmf","[2.0,2.1)",0.048607
"US National",2013-02-17,1,2013-02-24,"pmf","[2.1,2.2)",0.076807
"US National",2013-02-17,1,2013-02-24,"pmf","[2.2,2.3)",0.1006
"US National",2013-02-17,1,2013-02-24,"pmf","[2.3,2.4)",0.12395
"US National",2013-02-17,1,2013-02-24,"pmf","[2.4,2.5)",0.1288
"US National",2013-02-17,1,2013-02-24,"pmf","[2.5,2.6)",0.11779
"US National",2013-02-17,1,2013-02-24,"pmf","[2.6,2.7)",0.091898
"US National",2013-02-17,1,2013-02-24,"pmf","[2.7,2.8)",0.066232
"US National",2013-02-17,1,2013-02-24,"pmf","[2.8,2.9)",0.040676
"US National",2013-02-17,1,2013-02-24,"pmf","[2.9,3.0)",0.020407
"US National",2013-02-17,1,2013-02-24,"pmf","[3.0,3.1)",0.0093919
"US National",2013-02-17,1,2013-02-24,"pmf","[3.1,3.2)",0.0064177
"US National",2013-02-17,1,2013-02-24,"pmf","[3.2,3.3)",0.0074091
"US National",2013-02-17,1,2013-02-24,"pmf","[3.3,3.4)",0.0085106
"US National",2013-02-17,1,2013-02-24,"pmf","[3.4,3.5)",0.0091716
"US National",2013-02-17,1,2013-02-24,"pmf","[3.5,3.6)",0.0089513
"US National",2013-02-17,1,2013-02-24,"pmf","[3.6,3.7)",0.0075192
"US National",2013-02-17,1,2013-02-24,"pmf","[3.7,3.8)",0.0054263
"US National",2013-02-17,1,2013-02-24,"pmf","[3.8,3.9)",0.0033333
"US National",2013-02-17,1,2013-02-24,"pmf","[3.9,4.0)",0.001681
"US National",2013-02-17,1,2013-02-24,"pmf","[4.0,4.1)",0.00079973
"US National",2013-02-17,1,2013-02-24,"pmf","[4.1,4.2)",0.00046926
"US National",2013-02-17,1,2013-02-24,"pmf","[4.2,4.3)",0.00046926
"US National",2013-02-17,1,2013-02-24,"pmf","[4.3,4.4)",0.00046926
"US National",2013-02-17,1,2013-02-24,"pmf","[4.4,4.5)",0.00046926
"US National",2013-02-17,1,2013-02-24,"pmf","[4.5,4.6)",0.00046926
"US National",2013-02-17,1,2013-02-24,"pmf","[4.6,4.7)",0.00046926
"US National",2013-02-17,1,2013-02-24,"pmf","[4.7,4.8)",0.00046926
"US National",2013-02-17,1,2013-02-24,"pmf","[4.8,4.9)",0.00046926
"US National",2013-02-17,1,2013-02-24,"pmf","[4.9,5.0)",0.00046926
"US National",2013-02-17,1,2013-02-24,"pmf","[5.0,5.1)",0.00046926
"US National",2013-02-17,1,2013-02-24,"pmf","[5.1,5.2)",0.00046926
"US National",2013-02-17,1,2013-02-24,"pmf","[5.2,5.3)",0.00046926
"US National",2013-02-17,1,2013-02-24,"pmf","[5.3,5.4)",0.00046926
